BusNo,BusName,BaseVoltage
1,桂桂中52,525
2,桂柳州52,525
3,桂龙滩50,525
4,桂贵港50,525
5,桂贵港51,525
6,桂贵港G1,20
7,桂贵港G2,20
8,桂防城50,525
9,桂防城G1,22
10,桂防城G2,22
11,桂富川50,525
12,桂富川51,525
13,桂富川G1,27
14,桂富川G2,27
15,桂光坡50,525
16,桂光坡G1,24
17,桂光坡G2,24
18,桂桂林K1,525
19,桂桂林K2,525
20,桂玉林K1,525
21,桂玉林K2,525
22,桂贺州K1,525
23,桂贺州K2,525
24,桂平果K1,525
25,桂平果K2,525
26,桂河池K1,525
27,桂河池K2,525
28,桂岩滩50,525
29,桂岩滩G1,15.7
30,桂岩滩G2,15.7
31,桂岩滩G3,15.7
32,桂岩滩G4,15.7
33,桂岩滩G5,15.7
34,桂岩滩G6,15.7
35,桂合山50,525
36,桂合山G1,24
37,桂合山G2,24
38,桂合山G3,20
39,桂来A_50,525
40,桂来A_G3,20
41,桂来A_G4,20
42,LAIBA22,230
43,桂钦二50,525
44,桂钦二G3,27
45,桂钦二G4,27
46,桂神鹿22,230
47,桂神鹿G1,20
48,桂神鹿G2,20
49,桂来B_22,230
50,桂来B_21,230
51,桂来B_23,230
52,桂来B_24,230
53,桂来B_G1,24
54,桂来B_G2,24
55,桂六景22,230
56,桂六景21,230
57,桂六景G1,22
58,桂六景G2,22
59,桂北海21,230
60,桂北海22,230
61,桂北海23,230
62,桂北海G1,20
63,桂北海G2,20
64,桂永福22,230
65,桂永福21,230
66,桂永福G3,20
67,桂永福G4,20
68,桂钦州22,230
69,桂钦州21,230
70,桂钦一G1,22
71,桂钦一G2,22
72,桂防二21,230
73,桂防二22,230
74,桂防二G3,22
75,桂防二G4,22
76,桂信发22,230
77,桂信发21,230
78,桂仁义21,230
79,桂仁义22,230
80,桂仁义G1,20
81,桂仁义G2,20
82,桂大化22,230
83,桂大化21,230
84,桂大化D1,115
85,桂大化D3,115
86,桂大化11,115
