BusNo,PL
13,13.5
14,13.5
16,13.5
17,13.5
18,396.36
19,400.59
20,418.5
21,403.05
36,6
37,6
38,10.8
40,9
41,9
44,13.5
45,13.5
47,4.5
48,4.5
53,7.5
54,7.5
57,10.8
58,10.8
62,4.8
63,3.6
66,5.4
67,5.4
70,9
71,7.5
74,10.8
75,10.8
76,46.5
77,46.5
80,4.8
81,4.8
86,20.4
112,10.2
113,17.1
202,4.2
603,635.52
675,279.57
683,0.06
712,57.3
718,102
726,47.7
734,31.8
735,31.8
742,86.1
749,44.7
750,44.7
759,143.4
766,120.9
775,82.8
782,79.5
789,130.5
800,63.6
807,47.7
814,44.7
820,40.5
821,40.5
822,40.5
831,95.4
840,28.5
841,28.5
848,57.3
854,95.4
861,25.5
866,82.8
872,31.8
890,19.2
896,25.5
901,38.1
908,31.8
914,24
915,24
922,62.1
929,15.9
940,31.8
945,25.5
953,57.3
954,19.2
969,31.8
977,25.5
982,19.2
993,24.3
998,15.9
1000,49.2
1001,49.2
1006,48
1008,48
1010,51.3
1011,51.3
1012,123
1024,38.1
1030,15.3
1033,24
1038,54
1045,54
1050,38.1
1055,30
1056,16.2
1064,31.8
1071,54
1078,44.7
1085,33.9
1088,10.2
1091,39.3
1097,34.2
1102,33.6
1107,27.3
1114,24
1115,24
1123,44.7
1127,54.3
1132,6.3
1138,78
1145,8.4
1150,16.5
1155,78.3
1160,48.6
1163,30
1164,6
1166,69
1167,7.5
1173,44.7
1181,26.1
1188,105
1194,23.1
1199,6.3
1206,39.9
1207,39.9
1216,12.6
1221,38.1
1228,47.7
1231,45
1232,50.4
1233,3.6
1236,39.9
1237,39.9
1244,79.5
1251,36
1258,43.5
1259,43.5
1266,82.8
1273,76.5
1280,33.6
1285,38.1
1291,63.6
1294,24
1296,3
1300,30.3
1304,42.3
1309,98.7
1318,34.2
1325,54
1332,62.1
1339,43.5
1345,28.8
1346,28.8
1353,39.9
1358,47.7
1365,51
1372,67.5
1379,60
1388,28.8
1393,73.2
1400,75.3
1408,63.6
1415,49.2
1422,66.9
1429,57.9
1436,73.2
1445,44.7
1450,18
1454,47.7
1459,31.8
1462,66
1472,27.3
1473,27.3
1480,19.2
1490,57.3
1496,20.1
1503,12.6
1504,12.6
1513,27.3
1516,46.5
1517,46.5
1521,120
1529,22.5
1530,22.5
1539,35.1
1540,69.9
1549,80.4
1559,33.3
1560,33.3
1567,63
1574,35.1
1590,52.5
1597,47.4
1604,45.6
1609,66.6
1616,61.5
1623,42.9
1628,24
1633,17.4
1638,4.5
1642,15.9
1646,36.9
1649,60
1660,60
1661,70.5
1668,19.2
1673,63.6
1680,35.1
1687,62.1
1694,30.3
1699,35.1
1704,17.7
1705,17.7
1712,63.6
1719,47.7
1731,47.7
1737,19.2
1742,63.6
1749,57.3
1756,6.3
1762,11.4
1767,66.9
1772,21
1782,70.5
1787,6.3
1792,27.3
1793,27.3
1800,44.7
1806,44.7
1813,57.3
1820,60.6
1827,66.9
1834,79.5
1841,20.7
1842,20.7
1849,73.2
1856,31.8
1861,47.7
1864,33
1865,33
1884,70.2
1891,66.9
1899,22.2
1904,38.1
1911,22.2
1916,60.6
1922,25.5
1926,14.4
1932,39.6
1935,102
1936,102
1944,29.4
1951,30.6
1957,42
1964,41.7
1969,17.7
1974,30.3
1982,12.6
1987,112.8
1993,9.6
1997,45.6
2002,15.9
2017,21
2021,10.8
2025,38.1
2031,6.3
2036,6.3
2040,28.8
2044,14.4
2051,43.5
2055,30
2063,3
2064,3
2065,40.5
2067,11.1
2072,4.8
2076,38.1
2083,31.8
2092,19.2
2096,13.5
2097,13.5
2103,28.8
2122,48
2123,48
2128,17.7
2131,9.6
2134,15
2140,9.6
2145,11.7
2163,1.5
2166,1.5
2170,20.4
2189,12.3
2203,11.25
2204,11.25
2220,3.3
2224,19.2
2231,10.8
2244,32.4
2247,4.5
2249,4.5
2259,29.1
2261,3.3
2268,15.9
2269,30
2270,22.5
2271,10.8
2272,10.8
2274,11.7
2277,11.7
2284,11.7
2288,15.9
2301,11.7
2312,11.7
2317,11.7
