BusNo,BusName,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96
29,B1,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-26.7105981,0,-26.1859639,0,0,0,0,0,0,-30.25,-30.25,0,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-24.9104842,-22,0,0,0,-30.25,0,-22.4911604,0,-30.25,0,-30.25,-30.25,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,-26.9075901,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25
30,B2,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,0,-30.25,0,-22,0,0,0,0,0,-22,-23.4451054,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-22,-24.9068555,-24.9524073,0,-30.25,-28.7977746,-30.25,-27.9832936,-22.0602464,-22,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,0,0,-22.2921584,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25
31,B3,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,0,0,0,0,0,0,0,0,-23.8693818,0,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-27.9210313,-30.25,-29.5240368,0,0,0,-30.25,0,-22,0,-30.25,-26.6011375,-25.0848737,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25
32,B4,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,-23.869132,-22,0,0,0,0,0,0,0,0,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,0,0,0,0,0,0,-22,0,-30.25,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-27.9216623,-30.25,-25.8376426,0,0,0,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25,-30.25
33,B5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,-20.8840734,0,0,0,0,0,0,-18.3886264,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-14,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-23.9030557,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
34,B6,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,0,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,-30,0,-30,0,-30,0,-30,0,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,0,0,0,0,-30,-30,-30,-30,-30,-30,-30,-30,-30
87,B7,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-7.5159211,-7.6545614,-6.886272,0,-11.4,0,-11.4,-11.4,0,-11.4,-6.342739,-11.4,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-10.1845548,-11.4,-5.5391888,-11.4,-11.0545614,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-4,-4,0,-4,0,-11.4,-4,0,0,-11.4,-11.4,-11.4,0,-11.4,-7.2591018,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4
88,B8,-11.4,-11.4,-11.4,-11.4,-9.7475891,-4,-11.4,-11.4,-11.4,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-11.4,0,0,0,0,0,-4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-9.0628493,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-4,0,-4,-11.4,-11.4,-8.9161349,-4,0,-11.4,-11.4,-11.4,0,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4
89,B9,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-11.4,-11.4,0,0,-11.4,-11.4,-11.4,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-4.2426296,0,-11.4,-4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-11.4,-11.4,0,0,-11.4,-11.4,-11.4,0,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4
90,B10,-11.4,-11.4,-11.4,-11.4,-11.4,-5.1348646,-11.4,-11.4,0,0,0,-11.4,-11.4,-11.4,-11.4,-11.4,0,0,-11.4,-11.4,-11.4,-11.4,-11.4,-7.6545614,-8.38279,-11.4,-11.4,-11.4,-4.8873279,0,0,0,-7.2545614,-4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,0,-11.4,-11.4,-11.4,0,-10.7183493,-11.4,-11.4,-11.4,0,-11.4,0,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4
91,B11,-11,-11,-11,-11,-11,-6,-11,-11,-11,0,0,-9.6100135,-11,0,-11,-11,0,0,-11,0,0,-11,-11,-11,-11,-11,-11,-11,-11,0,0,0,0,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0,-11,-11,0,-11,-11,-11,0,-11,-11,-11,-11,0,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
96,B12,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
97,B13,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
98,B14,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
99,B15,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
100,B16,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2
103,B17,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-14.3690122,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
104,B18,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
105,B19,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-6.2,-10.5963673,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
106,B20,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
108,B21,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-1.4999999,-13.5,-13.5,-8.2908092,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-10.5075677,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5
