t,Load,Reserve,rate_CSG2024.12.1,top_demand
1,10725.04755,1072.504755,0.777,46010.5
2,10829.95149,1082.995149,0.7846,
3,10722.28692,1072.228692,0.7768,
4,10562.17038,1056.217038,0.7652,
5,10425.5192,1042.55192,0.7553,
6,10320.61526,1032.061526,0.7477,
7,10221.23258,1022.123258,0.7405,
8,10128.75147,1012.875147,0.7338,
9,10025.22785,1002.522785,0.7263,
10,9914.802645,991.4802645,0.7183,
11,9876.153825,987.6153825,0.7155,
12,9798.856185,979.8856185,0.7099,
13,9709.13571,970.913571,0.7034,
14,9674.627835,967.4627835,0.7009,
15,9608.372715,960.8372715,0.6961,
16,9601.47114,960.147114,0.6956,
17,9547.638855,954.7638855,0.6917,
18,9521.41287,952.141287,0.6898,
19,9491.04594,949.104594,0.6876,
20,9510.37035,951.037035,0.689,
21,9531.075075,953.1075075,0.6905,
22,9602.851455,960.2851455,0.6957,
23,9671.867205,967.1867205,0.7007,
24,9782.292405,978.2292405,0.7087,
25,9960.35304,996.035304,0.7216,
26,10192.24596,1019.224596,0.7384,
27,10439.32235,1043.932235,0.7563,
28,10720.90661,1072.090661,0.7767,
29,10929.33417,1092.933417,0.7918,
30,11186.07276,1118.607276,0.8104,
31,11339.28773,1133.928773,0.8215,
32,11546.33498,1154.633498,0.8365,
33,11964.57042,1196.457042,0.8668,
34,12360.72083,1236.072083,0.8955,
35,12701.65863,1270.165863,0.9202,
36,12892.1421,1289.21421,0.934,
37,13043.97675,1304.397675,0.945,
38,13146.12006,1314.612006,0.9524,
39,13253.78463,1325.378463,0.9602,
40,13237.22085,1323.722085,0.959,
41,13209.61455,1320.961455,0.957,
42,13223.4177,1322.34177,0.958,
43,13257.92558,1325.792558,0.9605,
44,13266.20747,1326.620747,0.9611,
45,13245.50274,1324.550274,0.9596,
46,13216.51613,1321.651613,0.9575,
47,13014.99014,1301.499014,0.9429,
48,12660.24918,1266.024918,0.9172,
49,12017.02239,1201.702239,0.8706,
50,11946.62633,1194.662633,0.8655,
51,11812.73577,1181.273577,0.8558,
52,11745.10034,1174.510034,0.8509,
53,11787.8901,1178.78901,0.854,
54,11843.1027,1184.31027,0.858,
55,12157.81452,1215.781452,0.8808,
56,12266.85941,1226.685941,0.8887,
57,12266.85941,1226.685941,0.8887,
58,12362.10114,1236.210114,0.8956,
59,12396.60902,1239.660902,0.8981,
60,12421.45469,1242.145469,0.8999,
61,12472.52634,1247.252634,0.9036,
62,12580.19091,1258.019091,0.9114,
63,12635.40351,1263.540351,0.9154,
64,12752.73029,1275.273029,0.9239,
65,12854.8736,1285.48736,0.9313,
66,12976.34132,1297.634132,0.9401,
67,13184.76888,1318.476888,0.9552,
68,13288.29251,1328.829251,0.9627,
69,13438.74684,1343.874684,0.9736,
70,13565.73582,1356.573582,0.9828,
71,13427.70432,1342.770432,0.9728,
72,13499.4807,1349.94807,0.978,
73,13571.25708,1357.125708,0.9832,
74,13695.48543,1369.548543,0.9922,
75,13803.15,1380.315,1,
76,13799.00906,1379.900906,0.9997,
77,13787.96654,1378.796654,0.9989,
78,13790.72717,1379.072717,0.9991,
79,13732.75394,1373.275394,0.9949,
80,13614.04685,1361.404685,0.9863,
81,13476.01535,1347.601535,0.9763,
82,13440.12716,1344.012716,0.9737,
83,13393.19645,1339.319645,0.9703,
84,13315.89881,1331.589881,0.9647,
85,13147.50038,1314.750038,0.9525,
86,13079.86494,1307.986494,0.9476,
87,12888.00116,1288.800116,0.9337,
88,12729.26493,1272.926493,0.9222,
89,12455.96256,1245.596256,0.9024,
90,12264.09878,1226.409878,0.8885,
91,11950.76727,1195.076727,0.8658,
92,11725.77593,1172.577593,0.8495,
93,11481.46017,1148.146017,0.8318,
94,11311.68143,1131.168143,0.8195,
95,11071.50662,1107.150662,0.8021,
96,10809.24677,1080.924677,0.7831,
