gen,BusId,pmax,pmin,init_output,init_state_time,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut,genName
1,13,1045,418,418,150,48,48,96,150,150,-,384000,640000,135000,7,418,449.35,532.95,585.2,658.35,731.5,836,1045,0,0,0,418,449.35,449.35,532.95,532.95,585.2,585.2,0,0,0,-,418,418,G1
2,14,1045,418,418,188,48,48,96,150,150,-,384000,640000,135000,7,418,449.35,532.95,585.2,658.35,731.5,836,1045,0,0,0,418,449.35,449.35,532.95,532.95,585.2,585.2,0,0,0,-,418,418,G2
3,44,1000,350,790,555,32,32,64,225,225,-,384000,640000,135000,2,350,630,1000,0,0,0,0,0,0,0,0,350,630,0,0,0,0,0,0,0,0,-,350,350,G3
4,45,1000,350,0,-192,32,32,64,225,225,-,384000,640000,135000,3,350,750,800,1000,0,0,0,0,0,0,0,350,750,750,0,0,0,0,0,0,0,-,350,350,G4
5,2096,1000,400,0,-192,32,32,64,225,225,-,576000,960000,135000,1,400,1000,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,-,400,400,G5
6,2097,1000,400,450,288,32,32,64,225,225,-,384000,640000,240000,7,400,477.5,510,560,630,700,800,1000,0,0,0,400,477.5,477.5,510,510,560,560,0,0,0,-,400,400,G6
7,38,670,210,0,-192,32,32,64,75,75,-,288000,480000,55000,4,210,233,342,400,670,0,0,0,0,0,0,210,233,233,342,0,0,0,0,0,0,-,210,210,G7
8,57,660,290,0,-192,32,32,64,75,75,-,288000,480000,55000,8,290,308.5,336.6,369.6,415.8,462,528,630,660,0,0,290,308.5,308.5,336.6,336.6,369.6,369.6,415.8,0,0,-,290,290,G8
9,58,660,290,330,288,32,32,64,75,75,-,288000,480000,55000,2,290,415.8,660,0,0,0,0,0,0,0,0,290,415.8,0,0,0,0,0,0,0,0,-,290,290,G9
10,74,660,240,0,-192,32,32,64,180,180,-,432000,720000,107500,6,240,350,400,470,540,600,660,0,0,0,0,240,350,350,400,400,470,0,0,0,0,-,240,240,G10
11,75,660,240,330,288,32,32,64,180,180,-,432000,720000,215000,10,240,350,380,410,440,470,500,530,570,600,660,240,350,350,380,380,410,410,440,440,470,-,240,240,G11
12,2271,660,198,0,-192,32,32,64,148.5,148.5,-,288000,480000,55000,7,198,221.2,336.6,369.6,415.8,462,528,660,0,0,0,198,221.2,221.2,336.6,336.6,369.6,369.6,0,0,0,-,198,198,G12
13,2231,660,240,0,-192,32,32,64,135,135,-,288000,480000,55000,7,240,295.5,321.3,352.8,396.9,441,504,630,0,0,0,240,295.5,295.5,321.3,321.3,352.8,352.8,0,0,0,-,240,240,G13
14,2272,660,198,0,-192,32,32,64,148.5,148.5,-,288000,480000,55000,7,198,221.2,336.6,369.6,415.8,462,528,660,0,0,0,198,221.2,221.2,336.6,336.6,369.6,369.6,0,0,0,-,198,198,G14
15,6,630,260.5,261,250,16,16,32,80,80,-,288000,480000,55000,7,260.5,278.98,321.3,352.8,396.9,441,504,630,0,0,0,260.5,278.98,278.98,321.3,321.3,352.8,352.8,0,0,0,-,260.5,260.5,G15
16,7,630,278,0,-150,16,16,32,80,80,-,288000,480000,55000,2,278,441,630,0,0,0,0,0,0,0,0,278,441,0,0,0,0,0,0,0,0,-,278,278,G16
17,9,630,235,252,290,16,16,32,180,180,-,432000,720000,107500,6,235,319,400,470,540,600,630,0,0,0,0,235,319,319,400,400,470,0,0,0,0,-,235,235,G17
18,10,630,235,252,270,16,16,32,180,180,-,432000,720000,215000,10,235,330,365,400,435,470,505,540,575,610,630,235,330,330,365,365,400,400,435,435,470,-,235,235,G18
19,70,630,240,390,288,16,16,32,135,135,-,288000,480000,55000,4,240,380,441,504,630,0,0,0,0,0,0,240,380,380,441,0,0,0,0,0,0,-,240,240,G19
20,71,630,240,0,-192,16,16,32,135,135,-,288000,480000,55000,7,240,295.5,321.3,352.8,396.9,441,504,630,0,0,0,240,295.5,295.5,321.3,321.3,352.8,352.8,0,0,0,-,240,240,G20
21,53,360,144,180,288,16,16,32,80,80,-,192000,320000,9000,7,144,180,201.6,226.8,252,288,320,360,0,0,0,144,180,180,201.6,201.6,226.8,226.8,0,0,0,-,144,144,G21
22,54,360,144,0,-192,16,16,32,80,80,-,192000,320000,9000,3,144,226.8,340,360,0,0,0,0,0,0,0,144,226.8,226.8,0,0,0,0,0,0,0,-,144,144,G22
23,47,350,140,175,288,16,16,32,45,45,-,192000,320000,9000,7,140,175,196,220.5,245,280,320,350,0,0,0,140,175,175,196,196,220.5,220.5,0,0,0,-,140,140,G23
24,48,350,140,0,-192,16,16,32,45,45,-,192000,320000,9000,2,140,220.5,350,0,0,0,0,0,0,0,0,140,220.5,0,0,0,0,0,0,0,0,-,140,140,G24
25,80,350,138.9,175,288,16,16,32,78.75,78.75,-,192000,320000,9000,7,138.9,149.5,178.5,196,220.5,245,280,350,0,0,0,138.9,149.5,149.5,178.5,178.5,196,196,0,0,0,-,138.9,138.9,G25
26,81,350,135,0,-192,16,16,32,78.75,78.75,-,288000,480000,175000,1,135,350,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,-,135,135,G26
27,36,330,115,0,-325,12,12,24,45,45,-,192000,320000,9000,7,115,125.75,168.3,184.8,208,231,264,330,0,0,0,115,125.75,125.75,168.3,168.3,184.8,184.8,0,0,0,-,115,115,G27
28,37,330,115,165,320,12,12,24,45,45,-,288000,480000,175000,1,115,330,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,-,115,115,G28
29,62,320,134,0,-192,12,12,24,67.5,67.5,-,192000,320000,9000,7,134,160,179.2,201.6,224,256,280,320,0,0,0,134,160,160,179.2,179.2,201.6,201.6,0,0,0,-,134,134,G29
30,63,320,134,250,288,12,12,24,67.5,67.5,-,192000,320000,9000,1,134,320,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,-,134,134,G30
31,66,320,110,0,-192,12,12,24,45,45,-,192000,320000,9000,5,110,200,224,256,300,320,0,0,0,0,0,110,200,200,224,224,0,0,0,0,0,-,110,110,G31
32,67,320,110,180,288,12,12,24,45,45,-,288000,480000,175000,1,110,320,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,-,110,110,G32
33,40,300,150,0,-242,12,12,24,67.5,67.5,-,192000,320000,9000,6,150,180,189,210,240,280,300,0,0,0,0,150,180,180,189,189,210,0,0,0,0,-,150,150,G33
34,41,300,150,180,445,12,12,24,67.5,67.5,-,288000,480000,175000,1,150,300,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,-,150,150,G34
