BusNo,PL
1,3.34929
2,0
3,82.28863
4,0
5,18.94082
6,23.21405
7,0
8,0
9,0
10,85.92665
11,14.78308
12,22.57884
13,40.71122
14,20.78871
15,0
16,0
17,13.6859
18,3.40704
19,19.63378
20,3.9845
21,5.31267
22,39.09432
23,14.66759
24,36.9577
25,41.34643
26,60.86471
27,0
28,0
29,12.53097
30,39.78727
31,29.21968
32,9.81689
33,22.05913
34,0
35,51.3943
36,0
37,40.9422
38,78.6506
39,37.30418
40,7.73802
41,19.22955
42,122.19139
43,53.18444
44,0
45,0
46,0
47,36.78446
48,6.00563
49,0
50,39.67178
51,58.43936
52,0
53,16.68871
54,16.28449
55,63.29006
56,15.76477
57,0
58,21.25068
59,21.07744
60,0
61,4.8507
62,7.62253
63,7.62253
64,13.10843
65,6.58309
66,5.89013
67,0
68,0
69,0
70,22.63659
71,11.14506
72,0
73,0
74,76.16751
75,0
76,0
77,54.6281
78,0
79,2.07887
80,20.44223
81,8.71971
82,33.14644
83,51.91402
84,0
85,138.47588
86,20.49997
87,43.94501
88,0
89,12.29998
90,6.4676
91,0
92,0
93,6.75633
94,3.52253
95,18.24786
96,39.78727
97,0.11549
98,0
99,0
100,0
101,0
102,17.38167
103,0
104,6.98731
105,61.26893
106,0
107,25.00419
108,19.17181
109,57.45767
110,67.21681
111,37.93939
112,61.90415
113,32.8577
114,0
115,71.37456
116,0
117,19.22955
118,0
119,0.98169
120,81.01821
121,19.46054
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,44.63797
132,16.22674
133,0
134,61.44217
135,0
136,65.65766
137,25.7549
138,95.39706
139,16.86195
140,18.94082
141,10.97182
142,0
143,0
144,21.42392
145,11.54928
146,22.00138
147,14.32111
148,0
149,0
150,0
151,0
152,89.68017
153,0
154,0
155,12.41548
156,15.12956
157,0
158,0
159,0
160,31.93376
161,0
162,17.32392
163,0
164,0
165,0
166,0
167,10.27886
168,14.60984
169,0
170,21.53941
171,62.30837
172,17.03519
173,0
174,0
175,0
176,0
177,16.22674
178,0
179,37.99713
180,0
181,0
182,0
183,0
184,0
185,48.27599
186,0
187,0
188,33.20418
189,102.44212
190,0
191,0
192,71.72103
193,20.38448
194,29.79714
195,0
196,9.75914
197,0
198,22.29011
199,0
200,0
201,98.8041
202,26.73659
203,33.83939
204,8.43098
205,43.54079
206,0
207,43.25206
208,0
209,0
210,32.107
211,0
212,6.3521
213,22.69434
214,12.47322
215,9.64365
216,1.15493
217,0
218,0
219,68.89146
220,0
221,41.63516
222,0
223,9.29717
224,8.60421
225,3.52253
226,0.63521
227,1.15493
228,1.50141
229,74.49286
230,0
231,14.89857
232,18.4211
233,2.4831
234,0
235,0
236,17.84364
237,6.75633
238,0
239,25.98588
240,0
241,0
242,0
243,0
244,0
245,0.40422
246,53.64641
247,0
248,0
249,0
250,0
251,1.84788
252,2.25211
253,0
254,0
255,0
256,61.49992
257,90.95059
258,52.78021
259,3.17605
260,120.11252
261,144.71249
262,0
263,0
264,26.79433
265,0
266,91.99002
267,117.28295
268,28.8732
269,10.16337
270,13.10843
271,0
272,20.9042
273,97.88016
274,0
275,0
276,0
277,14.89857
278,37.88164
279,30.14362
280,11.37604
281,10.16337
282,33.95489
283,0
284,62.5971
285,0
286,0
287,0
288,0
289,92.91396
290,0
291,19.86476
292,0
293,0
294,0
295,0
296,0
297,106.36888
298,0
299,0
300,24.36898
301,0
302,0
303,0
304,55.95627
305,0
306,0
307,0
308,50.58585
309,18.59434
310,16.51547
311,0
312,81.76891
313,17.38167
314,4.73521
315,52.89571
316,1.67465
317,54.6281
318,10.22111
319,53.0112
320,16.74646
321,12.76196
322,15.1873
323,61.26893
324,24.59997
325,11.26055
326,10.22111
327,27.48729
328,63.75203
329,64.61823
330,126.40688
331,0
332,0
333,0
334,0
335,0
336,19.51828
337,14.49435
338,51.97176
339,23.44504
340,69.52667
341,0
342,0
343,0
344,54.74359
345,0
346,42.67459
347,64.44499
348,0
349,0
350,0
351,12.18449
352,31.18306
353,4.21549
354,11.02956
355,0
356,0
357,13.80139
358,65.42668
359,0
360,32.28024
361,0
362,66.29287
363,0
364,30.25912
365,0
366,0
367,0
368,14.78308
369,13.91688
370,0
371,0
372,29.7394
373,0
374,0.11549
375,0
376,0
377,0
378,0
379,7.39154
380,0
381,43.88727
382,52.31824
383,0
384,0.80845
385,0
386,5.94788
387,40.53798
388,25.87039
389,0
390,0
391,92.27875
392,30.54785
393,0
394,0
395,19.05631
396,43.19431
397,14.60984
398,0
399,87.54355
400,16.22674
401,28.06475
402,59.76753
403,10.33661
404,0
405,26.21687
406,34.24362
407,80.38299
408,56.53373
409,22.98307
410,7.16055
411,38.86333
412,0
413,31.87602
414,31.29855
415,17.03519
416,2.02112
417,0
418,0
419,17.20843
420,9.00844
421,0
422,0
423,37.59291
424,47.87177
425,0
426,63.52104
427,0
428,0
429,0
430,34.18587
431,0
432,48.73797
433,52.66472
434,0
435,0
436,34.53235
437,14.89857
438,10.74083
439,1.90563
440,73.28019
441,2.3676
442,23.61828
443,0
444,0
445,0
446,0
447,24.71546
448,0
449,0
450,57.22669
451,13.97463
452,0
453,48.56473
454,0
455,18.19012
456,85.81116
457,1.15493
458,0
459,4.8507
460,81.65342
461,21.13518
462,13.22393
463,0
464,16.11125
465,102.32663
466,0
467,0
468,1.03944
469,37.47742
470,51.74078
471,33.78165
472,91.81678
473,0
474,0
475,0
476,0
477,21.77039
478,16.57322
479,23.73377
480,16.11125
481,21.59716
482,0
483,51.45205
484,19.69152
485,21.42392
486,57.22669
487,9.64365
488,39.90277
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,14.84083
498,2.77183
499,10.62534
500,0.17324
501,0.17324
502,8.43098
503,2.19436
504,0
505,115.31957
506,71.08582
507,48.62247
508,86.50411
509,37.36192
510,10.62534
511,10.74083
512,13.51266
513,30.4901
514,54.45486
515,46.13938
516,13.6859
517,10.79858
518,0
519,71.37456
520,40.30699
521,21.42392
522,0
523,35.86052
524,19.63378
525,6.12112
526,8.8352
527,29.97038
528,0
529,0
530,0
531,0
532,0
533,62.19288
534,13.28167
535,40.48023
536,21.42392
537,14.37885
538,30.08588
539,22.00138
540,0
541,0
542,0
543,49.7774
544,15.07181
545,113.81816
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,59.65204
558,105.21395
559,0
560,7.33379
561,8.37323
562,50.00839
563,53.8774
564,0
565,1.67465
566,0
567,0.05775
568,41.17319
569,12.64646
570,0
571,0
572,74.43512
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,1.15493
583,87.25482
584,0
585,0
586,44.00276
587,26.5056
588,18.70983
589,63.92527
590,0
591,0
592,0
593,0
594,35.51404
595,52.89571
596,73.97314
597,0
598,56.07176
599,56.76472
600,23.2718
601,23.79152
602,24.94645
603,0
604,34.4746
605,29.21968
606,12.12674
607,236.41378
608,11.89576
609,0
610,0.51972
611,56.1295
612,0
613,24.71546
614,0
615,59.42105
616,25.46616
617,25.35067
618,11.60703
619,19.2873
620,10.33661
621,41.11544
622,4.79295
623,0
624,0
625,5.65915
626,9.18168
627,38.45911
628,31.00982
629,23.50279
630,0
631,32.56897
632,1.32817
633,15.64928
634,34.99432
635,1.15493
636,0
637,16.0535
638,0
639,11.14506
640,55.03232
641,33.14644
642,14.60984
643,13.74364
644,7.04506
645,56.9957
646,0
647,59.99851
648,0
649,0
650,25.17743
651,45.21543
652,53.58866
653,43.94501
654,24.59997
655,25.69715
656,77.43793
657,17.95913
658,12.70421
659,22.46335
660,108.73648
661,0
662,69.0647
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,30.37461
674,4.44647
675,6.58309
676,1.96338
677,3.86901
678,0
679,29.50841
680,32.39573
681,19.17181
682,103.48156
683,17.61265
684,38.34361
685,0
686,39.15206
687,14.89857
688,0
689,142.74911
690,0
691,0
692,0
693,0
694,6.52534
695,84.07876
696,92.27875
697,64.67597
698,59.70978
699,10.4521
700,0
701,64.9647
702,0
703,6.40985
704,6.3521
705,0
706,8.89295
707,16.57322
708,13.33942
709,24.42673
710,2.13662
711,45.50417
712,17.95913
713,41.63516
714,63.17457
715,84.19426
716,0
717,65.02245
718,17.09294
719,0
720,12.01125
721,82.05764
722,0
723,67.33231
724,98.51537
725,0
726,0
727,0
728,20.55772
729,53.70416
730,4.61971
731,0
732,14.72533
733,1.73239
734,36.55347
735,2.77183
736,65.65766
737,7.79576
738,17.95913
739,31.76052
740,35.74502
741,11.95351
742,57.7464
743,121.90266
744,0
745,0
746,0
747,0
748,0
749,0
750,50.06613
751,0
752,0
753,0
754,32.22249
755,0
756,0
757,0
758,17.20843
759,106.36888
760,21.6549
761,10.97182
762,47.29431
763,58.95908
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,86.90834
772,41.86614
773,32.33799
774,1.09718
775,41.6929
776,32.51123
777,46.5436
778,44.00276
779,0
780,0
781,30.4901
782,18.5366
783,6.06337
784,0
785,0
786,0
787,14.49435
788,0
789,14.84083
790,13.28167
791,0
792,0
793,43.82952
794,2.30986
795,24.71546
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,31.58728
804,0
805,0
806,0
807,21.71265
808,21.82814
809,19.51828
810,49.31543
811,0
812,43.59854
813,47.35205
814,33.60841
815,33.37742
816,1.32817
817,8.60421
