t,Load,Reserve,rate_CSG2024.1.1,top_demand
1,29164.82804,2916.482804,0.8473,34420.89937
2,27832.73923,2783.273923,0.8086,
3,26352.64056,2635.264056,0.7656,
4,25295.91895,2529.591895,0.7349,
5,24545.54334,2454.554334,0.7131,
6,24352.7863,2435.27863,0.7075,
7,24824.35263,2482.435263,0.7212,
8,26063.505,2606.3505,0.7572,
9,28070.24344,2807.024344,0.8155,
10,29984.04544,2998.404544,0.8711,
11,30844.56793,3084.456793,0.8961,
12,31240.40827,3124.040827,0.9076,
13,30224.99174,3022.499174,0.8781,
14,28961.74473,2896.174473,0.8414,
15,28576.23066,2857.623066,0.8302,
16,28634.74619,2863.474619,0.8319,
17,29581.32092,2958.132092,0.8594,
18,31515.77546,3151.577546,0.9156,
19,33353.85149,3335.385149,0.969,
20,34207.48979,3420.748979,0.9938,
21,34031.94321,3403.194321,0.9887,
22,33546.60853,3354.660853,0.9746,
23,32235.17226,3223.517226,0.9365,
24,29887.66692,2988.766692,0.8683,
