line,BusFrom,BusTo,X,Pmin,Pmax,ratio,IsBuildPlineLimit
1459,1102,846,0.00193,-1400,1400,1,YES
125,1398,52,0.00332,-1300,1300,1,YES
1,692,1,0.01746,-999999,999999,1,YES
2,27,2,0.00012,-999999,999999,1,YES
3,661,2,0.00188,-999999,999999,1,YES
4,1250,2,0.00323,-999999,999999,1,YES
5,28,2,0.00012,-999999,999999,1,YES
6,138,3,0.04107,-999999,999999,1,YES
7,663,3,0.00437,-999999,999999,1,YES
8,1029,4,0.03409,-999999,999999,1,YES
9,98,5,0.00202,-999999,999999,1,YES
10,279,6,0.03399,-999999,999999,1,YES
11,323,6,0.01983,-999999,999999,1,YES
12,720,5,0.03506,-999999,999999,1,YES
13,742,5,0.03287,-999999,999999,1,YES
14,1308,6,0.00873,-999999,999999,1,YES
15,1327,5,0.00312,-999999,999999,1,YES
16,1505,6,0.01614,-999999,999999,1,YES
17,99,8,0.00091,-999999,999999,1,YES
18,311,8,0.00673,-999999,999999,1,YES
19,612,8,0.00801,-2462,2462,1,NO
20,865,8,0.00918,-1644,1644,1,NO
21,100,7,0.00074,-1095,1095,1,NO
22,612,8,0.00802,-2462,2462,1,NO
23,612,7,0.01312,-1433,1433,1,NO
24,111,9,0.00067,-331,331,1,NO
25,1110,9,9E-05,-268,268,1,NO
26,340,10,0.02862,-455,455,1,NO
27,339,10,0.02858,-455,455,1,NO
28,104,11,0.00051,0,0,1,NO
29,740,12,0.00215,-452,452,1,NO
30,945,12,0.00087,-481,481,1,NO
31,938,13,0.00083,-268,268,1,NO
32,978,13,0.00061,-268,268,1,NO
33,37,14,0.01175,-424,424,1,NO
34,1410,14,0.01162,-290,290,1,NO
35,1035,16,0.00077,-379,379,1,NO
36,1035,15,0.00077,-379,379,1,NO
37,1410,17,0.00344,-290,290,1,NO
38,1414,17,0.03688,-522,522,1,NO
39,37,17,0.00346,-418,418,1,NO
40,853,18,0.01118,-304,304,1,NO
41,1069,18,0.00312,-270,270,1,NO
42,1141,20,0.00014,-701,701,1,NO
43,1141,19,0.00016,-251,251,1,NO
44,955,21,0.00116,-405,405,1,NO
45,469,22,0.03793,-492,492,1,NO
46,1479,22,0.01165,-492,492,1,NO
47,68,23,0.00946,-463,463,1,NO
48,438,23,0.00693,-432,432,1,NO
49,594,23,0.02873,-432,432,1,NO
50,970,23,0.01063,-481,481,1,NO
51,831,24,0.00354,-506,506,1,NO
52,831,24,0.00354,-506,506,1,NO
53,120,25,0.02038,0,0,1,NO
54,1461,25,0.04887,-351,351,1,NO
55,1482,25,0.01626,-311,311,1,NO
56,282,26,0.00342,-452,452,1,NO
57,302,26,0.0072,-448,448,1,NO
58,1433,26,0.00244,-348,348,1,NO
59,282,26,0.00346,-356,356,1,NO
60,302,26,0.00725,-540,540,1,NO
61,1432,26,0.00247,-405,405,1,NO
62,302,26,0.00727,-540,540,1,NO
63,828,29,0.01169,-467,467,1,NO
64,943,29,0.00713,-413,413,1,NO
65,1248,29,0.00859,-541,541,1,NO
66,1249,29,0.00859,-541,541,1,NO
67,1249,29,0.00853,-541,541,1,NO
68,204,30,0.00093,0,0,1,NO
69,320,30,0.00159,-422,422,1,NO
70,1129,30,0.00171,-385,385,1,NO
71,1147,30,0.00336,-385,385,1,NO
72,338,31,0.00105,-452,452,1,NO
73,938,31,0.00223,-452,452,1,NO
74,1236,32,0.10684,0,0,1,NO
75,1421,32,0.02076,0,0,1,NO
76,832,33,0.00512,-389,389,1,NO
77,832,33,0.00524,-419,419,1,NO
78,220,34,0.01946,-1579,1579,1,NO
79,470,35,0.00877,-321,321,1,NO
80,1157,35,0.04318,-321,321,1,NO
81,131,37,0.03245,-487,487,1,NO
82,185,37,0.04275,-418,418,1,NO
83,200,37,0.03125,-327,327,1,NO
84,290,38,0.00765,-2487,2487,1,NO
85,749,38,0.02163,-2487,2487,1,NO
86,933,38,0.0143,-2487,2487,1,NO
87,1261,38,0.01531,-2487,2487,1,NO
88,290,38,0.00758,-2487,2487,1,NO
89,749,38,0.02163,-2487,2487,1,NO
90,933,38,0.01429,-2487,2487,1,NO
91,1260,38,0.01534,-2487,2487,1,NO
92,1261,38,0.01787,-1382,1382,1,NO
93,547,39,0.00348,-254,254,1,NO
94,1401,40,0.00419,-471,471,1,NO
95,1401,41,0.00415,-471,471,1,NO
96,1021,42,0.0044,-541,541,1,NO
97,1503,42,0.0046,-304,304,1,NO
98,1021,42,0.00444,-440,440,1,NO
99,1506,43,0.01322,-541,541,1,NO
100,1507,43,0.01304,0,0,1,NO
101,1298,44,0.01027,0,0,1,NO
102,1411,44,0.00751,0,0,1,NO
103,47,46,0.0002,-261,261,1,NO
104,47,45,0.0002,-261,261,1,NO
105,292,47,0.0109,-352,352,1,NO
106,313,47,0.00202,-428,428,1,NO
107,364,47,0.00156,-426,426,1,NO
108,597,47,0.00018,0,0,1,NO
109,822,47,0.01244,-935,935,1,NO
110,1208,47,0.00213,-268,268,1,NO
111,1357,47,0.00069,-387,387,1,NO
112,1393,47,0.00518,-323,323,1,NO
113,822,47,0.01212,-943,943,1,NO
114,1355,47,0.00022,-323,323,1,NO
115,1354,47,0.00022,-323,323,1,NO
116,1146,48,0.00095,-348,348,1,NO
117,688,49,0.00708,-302,302,1,NO
118,1244,49,0.01146,-315,315,1,NO
119,397,50,0.0097,-566,566,1,NO
120,418,50,0.00954,-566,566,1,NO
121,450,51,0.02823,-440,440,1,NO
122,748,51,0.008,-575,575,1,NO
123,1511,51,0.02722,-440,440,1,NO
124,749,52,0.00191,-2487,2487,1,NO
126,1079,54,0.00225,-406,406,1,NO
127,1079,53,0.00225,-406,406,1,NO
128,315,55,0.04478,-405,405,1,NO
129,798,55,0.07832,-362,362,1,NO
130,1264,55,0.04869,-354,354,1,NO
131,453,56,0.05934,-409,409,1,NO
132,812,56,0.05663,-262,262,1,NO
133,1411,57,0.00116,0,0,1,NO
134,1070,59,0.00168,0,0,1,NO
135,1070,58,0.00168,0,0,1,NO
136,697,60,0.00057,0,0,1,NO
137,1013,61,0.00484,-432,432,1,NO
138,981,62,0.00855,-346,346,1,NO
139,337,64,0.00065,0,0,1,NO
140,877,63,0.00073,-385,385,1,NO
141,1244,65,0.01262,-302,302,1,NO
142,1379,66,0.02974,-303,303,1,NO
143,1525,66,0.03043,-380,380,1,NO
144,397,68,0.01474,-565,565,1,NO
145,461,67,0.00384,-507,507,1,NO
146,774,67,0.02031,-566,566,1,NO
147,1325,68,0.01553,-549,549,1,NO
148,1462,67,0.00897,-566,566,1,NO
149,462,67,0.00391,-415,415,1,NO
150,627,67,0.0127,-501,501,1,NO
151,545,69,0.00672,-1725,1725,1,NO
152,775,69,0.0071,-1916,1916,1,NO
153,1402,69,0.00463,-2275,2275,1,NO
154,775,69,0.0062,-2487,2487,1,NO
155,1398,69,0.0193,-2275,2275,1,NO
156,193,71,0.00111,-461,461,1,NO
157,369,70,0.00193,-407,407,1,NO
158,396,70,0.00091,-428,428,1,NO
159,965,70,0.00356,-416,416,1,NO
160,1081,71,0.00126,-416,416,1,NO
161,828,72,0.00138,-420,420,1,NO
162,828,73,0.0014,-420,420,1,NO
163,381,74,0.00869,-525,525,1,NO
164,828,74,0.00466,-541,541,1,NO
165,77,75,0.00042,-434,434,1,NO
166,294,76,0.0001,-1051,1051,1,NO
167,427,76,0.00458,-2357,2357,1,NO
168,689,76,0.00918,-2487,2487,1,NO
169,427,76,0.00458,-2357,2357,1,NO
170,689,76,0.00924,-2487,2487,1,NO
171,296,76,0.0001,-1382,1382,1,NO
172,295,76,0.0001,-1382,1382,1,NO
173,426,77,0.01733,-418,418,1,NO
174,1021,77,0.06262,-471,471,1,NO
175,1413,78,0.0001,-405,405,1,NO
176,1412,79,0.0001,0,0,1,NO
177,728,80,0.00259,-388,388,1,NO
178,1414,81,0.0002,-566,566,1,NO
179,615,82,0.00077,-272,272,1,NO
180,171,83,0.00784,-296,296,1,NO
181,840,83,0.01498,-401,401,1,NO
182,1164,84,0.00259,0,0,1,NO
183,1165,84,0.00259,0,0,1,NO
