genName,BusId,pmax,pmin,init_output,init_state_time,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut
1,1671,1503,403,1503,96,22,22,44,1052.1,1052.1,-,56167.04,127496.97,10008.9642336649,4,403,678,953,1228,1503,,,,,,,152.5838879,206.1207082,260.8036191,317.3120824,,,,,,,-,1052.1,1052.1
2,1672,1503,403,1503,96,22,22,44,1052.1,1052.1,-,59604.06,129583.31,10345.2204040921,4,403,678,953,1228,1503,,,,,,,157.2122007,212.1863712,268.4807842,326.3664446,,,,,,,-,1052.1,1052.1
3,1673,1498,398.0063007,1498,96,22,22,44,1048.6,1048.6,-,53887.68,134785.48,9362.82676936339,4,398.0063007,673.0047256,948.0031504,1223.001575,1498,,,,,,,143.1939597,193.8775538,245.7517034,299.1586953,,,,,,,-,1048.6,1048.6
4,1674,1498,398,1498,96,22,22,44,1048.6,1048.6,-,51981.89,119893.84,9247.01339465552,4,398,673,948,1223,1498,,,,,,,141.7985737,191.8200793,242.5937893,294.5461495,,,,,,,-,1048.6,1048.6
5,1791,1374.106827,356.7929543,1374.106827,96,22,22,44,961.87,961.87,-,41925.25,96239.2,9153.80778034254,4,356.7929543,611.1214224,865.4498906,1119.778359,1374.106827,,,,,,,141.1738587,191.5891484,242.9762112,295.8537387,,,,,,,-,961.87,961.87
6,1786,1373.506652,366.1997482,1241.046208,96,22,22,44,961.45,961.45,-,52940.03,123371.47,9702.55919315763,4,366.1997482,618.0264742,869.8532002,1121.679926,1373.506652,,,,,,,146.4814443,197.1044606,249.0373383,302.6445826,,,,,,,-,961.45,961.45
7,1712,1372.235233,366.5296191,1372.235233,96,22,22,44,960.56,960.56,-,46995.56,114473.62,8941.40438972283,4,366.5296191,617.9560227,869.3824263,1120.80883,1372.235233,,,,,,,137.4692668,186.4498689,236.62675,289.2024242,,,,,,,-,960.56,960.56
8,1713,1371.854631,367.8300111,1371.854631,96,22,22,44,960.3,960.3,-,43258.11,100549.31,8801.38918012012,4,367.8300111,618.8361661,869.842321,1120.848476,1371.854631,,,,,,,135.6004037,183.9632298,233.4189703,285.3683304,,,,,,,-,960.3,960.3
9,1787,1368.865677,388.0422703,1368.865677,96,22,22,44,958.21,958.21,-,38660.56,87827.56,9041.31368372134,4,388.0422703,633.248122,878.4539737,1123.659825,1368.865677,,,,,,,137.2511923,184.6393041,232.9793257,283.9978235,,,,,,,-,958.21,958.21
10,1788,1367.490215,379.6869855,1367.490215,96,22,22,44,957.24,957.24,-,45176.33,111759.7,9263.26779338251,4,379.6869855,626.6377928,873.5886001,1120.539407,1367.490215,,,,,,,139.1348316,186.6902548,235.5375974,286.2231857,,,,,,,-,957.24,957.24
11,1792,1364.34218,380.2724731,0,-96,22,22,44,955.04,955.04,-,50647.91,112239.04,9837.78186313956,4,380.2724731,626.2898998,872.3073265,1118.324753,1364.34218,,,,,,,147.4136148,197.4295255,248.7451011,302.3640425,,,,,,,-,955.04,955.04
12,1664,1350.315528,400.0886124,0,-96,22,22,44,945.22,945.22,-,46481.97,108400.46,10100.8835097968,4,400.0886124,637.6453413,875.2020703,1112.758799,1350.315528,,,,,,,149.2345253,198.5083571,249.1882143,302.6486721,,,,,,,-,945.22,945.22
13,1782,1350.195131,322.4999693,1350.195131,96,22,22,44,945.14,945.14,-,41350.75,102448.29,7593.49508303699,4,322.4999693,579.4237597,836.3475501,1093.271341,1350.195131,,,,,,,124.2233015,173.3444721,223.6824749,276.9867204,,,,,,,-,945.14,945.14
