Index,storageName,BusId(按Busload最高的前几个母线接入储能电站),Pmax,Clife,Qmin,Qmax,Q0,ηc,ηd,C_segments,C_segment1,C_segment2,C_segment3,C_segment4,C_segment5,C_segment6,C_segment7,C_segment8,C_segment9,C_segment10,C_segment11,C_cost1,C_cost2,C_cost3,C_cost4,C_cost5,C_cost6,C_cost7,C_cost8,C_cost9,C_cost10,D_segments,D_segment1,D_segment2,D_segment3,D_segment4,D_segment5,D_segment6,D_segment7,D_segment8,D_segment9,D_segment10,D_segment11,D_cost1,D_cost2,D_cost3,D_cost4,D_cost5,D_cost6,D_cost7,D_cost8,D_cost9,D_cost10
1,宝塘储能电站#1发电机,1882,200,1,0,400,41.273,0.95,0.95,1,0,200,,,,,,,,,,30,,,,,,,,,,3,0,66.66666667,133.3333333,200,,,,,,,,30,60,90,,,,,,,
2,清城储能站1G,1866,200,1,0,400,39.428,0.85,0.85,1,0,200,,,,,,,,,,30,,,,,,,,,,3,0,66.66666667,133.3333333,200,,,,,,,,30,60,90,,,,,,,
3,英利储能站1G,1860,200,1,0,400,25.117,1,1,1,0,200,,,,,,,,,,30,,,,,,,,,,3,0,66.66666667,133.3333333,200,,,,,,,,30,60,90,,,,,,,
4,红花储能站#1储能等值机,1878,150,1,0,300,30.1,0.92,0.92,1,0,150,,,,,,,,,,30,,,,,,,,,,3,0,50,100,150,,,,,,,,30,60,90,,,,,,,
5,皇山储能站#3储能等值机,1857,115,1,0,230,23.1,0.9,0.9,1,0,115,,,,,,,,,,30,,,,,,,,,,3,0,38.33333333,76.66666667,115,,,,,,,,30,60,90,,,,,,,
6,万羚储能站1G,1858,100,1,0,200,68.7,0.95,0.95,1,0,100,,,,,,,,,,30,,,,,,,,,,3,0,33.33333333,66.66666667,100,,,,,,,,30,60,90,,,,,,,
7,宝塘储能电站#2发电机,1868,100,1,0,200,39.957,0.95,0.95,1,0,100,,,,,,,,,,30,,,,,,,,,,3,0,33.33333333,66.66666667,100,,,,,,,,30,60,90,,,,,,,
8,更古储能站#1储能等值机,1873,100,1,0,200,50.1,0.9,0.9,1,0,100,,,,,,,,,,30,,,,,,,,,,3,0,33.33333333,66.66666667,100,,,,,,,,30,60,90,,,,,,,
9,皇山储能站#2储能等值机,607,85,1,0,170,17.1,0.9,0.9,1,0,85,,,,,,,,,,30,,,,,,,,,,3,0,28.33333333,56.66666667,85,,,,,,,,30,60,90,,,,,,,
10,冬田储能站#1储能等值机,1888,72.45,1,0,144.9,40.1,0.94,0.92,1,0,72.45,,,,,,,,,,30,,,,,,,,,,3,0,24.15,48.3,72.45,,,,,,,,30,60,90,,,,,,,
11,宝湖储能电站#1发电机,1881,70,1,0,140,8.331,0.95,0.95,1,0,70,,,,,,,,,,30,,,,,,,,,,3,0,23.33333333,46.66666667,70,,,,,,,,30,60,90,,,,,,,
12,浩航储能站#1储能等值机,1862,65,1,0,130,30.1,0.95,0.95,1,0,65,,,,,,,,,,30,,,,,,,,,,3,0,21.66666667,43.33333333,65,,,,,,,,30,60,90,,,,,,,
13,浩航储能站#2储能等值机,1887,60,1,0,120,20.1,0.95,0.95,1,0,60,,,,,,,,,,30,,,,,,,,,,3,0,20,40,60,,,,,,,,30,60,90,,,,,,,
14,峡安储能站1G,1879,30,1,0,60,41.473,0.95,0.95,1,0,30,,,,,,,,,,30,,,,,,,,,,3,0,10,20,30,,,,,,,,30,60,90,,,,,,,
15,冬田储能站#2储能等值机,1865,3.45,1,0,6.9,2.1,0.94,0.92,1,0,3.45,,,,,,,,,,30,,,,,,,,,,3,0,1.15,2.3,3.45,,,,,,,,30,60,90,,,,,,,
