BusNo,PL
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,5.64982
11,0
12,0
13,0
14,0
15,0
16,25.35257
17,35.57121
18,70.68045
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,12.00182
30,12.00182
31,9.692
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,5.53894
42,5.53894
43,11.07789
44,11.07789
45,73.84028
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,10.61593
58,10.15396
59,0
60,0
61,0
62,0
63,17.26358
64,16.33966
65,6.18569
66,0
67,27.90261
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,7.3868
84,7.29441
85,4.61502
86,4.61502
87,5.12318
88,0
89,0
90,0
91,0
92,0
93,4.61502
94,0
95,3.18293
96,0
97,4.01446
98,0
99,0
100,0
101,0
102,0
103,8.35692
104,15.55894
105,15.60513
106,0
107,0
108,0
109,0.46196
110,0.46196
111,12.23742
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,2.5408
124,4.06066
125,16.4921
126,11.67844
127,11.87709
128,0
129,0
130,0
131,31.72305
132,15.2448
133,0
134,0
135,0
136,0
137,0
138,0
139,15.3372
140,13.5032
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,156.99837
181,0
182,0
183,69.29456
184,146.59956
185,167.42951
186,15.39725
187,3.28918
188,3.52478
189,4.51339
190,2.82722
191,2.82722
192,14.11761
193,7.05881
194,0
195,3.76038
196,3.19679
197,3.19679
198,5.69139
199,0.66061
200,0.49892
201,2.59162
202,8.47241
203,5.1278
204,0
205,3.19679
206,5.17399
207,3.38157
208,0
209,4.32398
210,7.01261
211,4.04218
212,4.70279
213,0
214,5.5528
215,3.19679
216,4.08838
217,0.89621
218,5.6452
219,1.17801
220,1.17801
221,1.88481
