t,Load,Reserve,rate,top_demand
1,8834.397018,883.4397018,0.778,11355.26609
2,8584.581164,858.4581164,0.756,
3,8255.278447,825.5278447,0.727,
4,7994.107327,799.4107327,0.704,
5,7857.844134,785.7844134,0.692,
6,7846.488868,784.6488868,0.691,
7,8198.502117,819.8502117,0.722,
8,9004.726009,900.4726009,0.793,
9,9856.370966,985.6370966,0.868,
10,10742.08172,1074.208172,0.946,
11,10878.34491,1087.834491,0.958,
12,10912.41071,1091.241071,0.961,
13,9901.79203,990.179203,0.872,
14,9708.752507,970.8752507,0.855,
15,10106.18682,1010.618682,0.89,
16,10276.51581,1027.651581,0.905,
17,10583.108,1058.3108,0.932,
18,11071.38444,1107.138444,0.975,
19,11173.58183,1117.358183,0.984,
20,11355.26609,1135.526609,1,
21,11094.09497,1109.409497,0.977,
22,10832.92385,1083.292385,0.954,
23,10253.80528,1025.380528,0.903,
24,9458.936653,945.8936653,0.833,
