line,BusFrom,BusTo,X,Pmin,Pmax,ratio,IsBuildPlineLimit
244,105,185,0.01763,-550,550,1,YES
169,138,67,0.02056,-550,550,1,YES
1,16,1,0.01169,-99999,99999,1,YES
2,355,1,0.06612,-99999,99999,1,YES
3,17,2,0.01169,-160,160,1,NO
4,354,2,0.06612,-160,160,1,NO
5,10,3,0.07895,-274,274,1,NO
6,219,3,0.06736,-160,160,1,NO
7,220,3,0.06736,-160,160,1,NO
8,7,4,0.09711,-377,377,1,NO
9,11,4,0.01599,-335,335,1,NO
10,14,4,0.03223,-464,464,1,NO
11,16,4,0.06665,-377,377,1,NO
12,22,4,0.043,-350,350,1,NO
13,245,4,0.06901,-160,160,1,NO
14,246,4,0.06901,-160,160,1,NO
15,5,6,0.0305,-400,400,1,NO
16,7,5,0.03988,-381,381,1,NO
17,10,5,0.11219,-381,381,1,NO
18,309,5,0.0686,-160,160,1,NO
19,309,5,0.0686,-160,160,1,NO
20,6,8,0.01329,-1316,1316,1,NO
21,6,9,0.03675,-1427,1427,1,NO
22,15,6,0.03417,-1427,1427,1,NO
23,31,6,0.01506,-1385,1385,1,NO
24,310,6,0.06188,-250,250,1,NO
25,12,7,0.08742,-381,381,1,NO
26,13,7,0.01326,-335,335,1,NO
27,19,7,0.0407,-323,323,1,NO
28,21,7,0.00651,-160,160,1,NO
29,29,7,0.07498,-362,362,1,NO
30,321,7,0.03368,-250,250,1,NO
31,322,7,0.06775,-160,160,1,NO
32,8,18,0.03977,-1316,1316,1,NO
33,332,9,0.05244,-330,330,1,NO
34,171,10,0.10413,-464,464,1,NO
35,346,10,0.06839,-160,160,1,NO
36,347,10,0.06839,-160,160,1,NO
37,16,11,0.03952,-464,464,1,NO
38,17,11,0.03952,-464,464,1,NO
39,111,11,0.06196,-394,394,1,NO
40,352,11,0.06901,-160,160,1,NO
41,353,11,0.06901,-160,160,1,NO
42,140,12,0.10589,-464,464,1,NO
43,359,12,0.06612,-160,160,1,NO
44,360,12,0.06612,-160,160,1,NO
45,29,13,0.08114,-339,339,1,NO
46,365,13,0.06901,-160,160,1,NO
47,366,13,0.06901,-160,160,1,NO
48,17,14,0.02853,-464,464,1,NO
49,367,14,0.06798,-160,160,1,NO
50,368,14,0.06901,-160,160,1,NO
51,18,15,0.04262,-1662,1662,1,NO
52,15,165,0.02474,-831,831,1,NO
53,374,15,0.06188,-250,250,1,NO
54,16,18,0.02519,-500,500,1,NO
55,16,73,0.0624,-464,464,1,NO
56,17,18,0.02519,-500,500,1,NO
57,17,74,0.06405,-464,464,1,NO
58,20,18,0.00749,-1427,1427,1,NO
59,75,18,0.02369,-1434,1434,1,NO
60,18,76,0.01625,-1662,1662,1,NO
61,18,101,0.02769,-1662,1662,1,NO
62,124,19,0.12366,-464,464,1,NO
63,425,19,0.06818,-160,160,1,NO
64,67,20,0.03425,-831,831,1,NO
65,447,20,0.06119,-250,250,1,NO
66,448,20,0.06119,-250,250,1,NO
67,502,21,0.07107,-160,160,1,NO
68,112,22,0.02618,-362,362,1,NO
69,526,22,0.06901,-160,160,1,NO
70,527,22,0.06901,-160,160,1,NO
71,37,23,0.07031,-394,394,1,NO
72,46,23,0.04868,-457,457,1,NO
73,53,23,0.06558,-274,274,1,NO
74,540,23,0.0668,-160,160,1,NO
75,54,24,0.05727,-160,160,1,NO
76,545,24,0.06715,-160,160,1,NO
77,41,25,0.04145,-274,274,1,NO
78,53,25,0.03368,-464,464,1,NO
79,54,25,0.0014,-464,464,1,NO
80,564,25,0.07808,-160,160,1,NO
81,38,26,0.05196,-160,160,1,NO
82,568,26,0.06616,-160,160,1,NO
83,28,27,0.0001,-876,876,1,NO
84,33,27,0.01494,-160,160,1,NO
85,48,27,0.06215,-362,362,1,NO
86,27,74,0.07231,-304,304,1,NO
87,47,28,0.01798,-464,464,1,NO
88,28,88,0.08161,-362,362,1,NO
89,30,29,0.0001,-876,876,1,NO
90,29,32,0.02097,-500,500,1,NO
91,45,29,0.04021,-464,464,1,NO
92,48,29,0.04283,-464,464,1,NO
