genName,BusId,pmax,pmin,init_output,init_state_time,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut
1,18,2104.217051,185.8932871,1145.055169,24,16,16,32,1472.95,1472.95,-,45428.81,115150.72,3960.10708,4,185.8932871,665.4742281,1145.055169,1624.63611,2104.217051,,,,,,,110.4389277,181.9390585,254.3407748,327.5811195,,,,,,,-,1472.95,1472.95
2,17,833.8046264,120,476.9023132,24,16,16,32,583.66,583.66,-,27654.75,37227.78,2314.837169,4,120,298.4511566,476.9023132,655.3534698,833.8046264,,,,,,,50.4282912,78.1491238,107.0934232,137.5526813,,,,,,,-,583.66,583.66
3,67,745.1221268,377.7193298,561.4207283,24,8,8,16,521.59,521.59,-,43780.99,80095.08,9807.989037,4,377.7193298,469.570029,561.4207283,653.2714275,745.1221268,,,,,,,121.3247145,145.3923319,170.2255813,197.029017,,,,,,,-,521.59,521.59
4,30,721.9862795,106.6935362,414.3399079,24,8,8,16,505.39,505.39,-,19088.4,36100.68,3806.217055,4,106.6935362,260.516722,414.3399078,568.1630936,721.9862795,,,,,,,69.18611566,102.6760383,138.5618118,212.6731598,,,,,,,-,505.39,505.39
5,16,703.5300214,154.5500819,429.0400517,24,8,8,16,492.47,492.47,-,7441.25,18328.68,4131.886305,4,154.5500819,291.7950667,429.0400516,566.2850365,703.5300214,,,,,,,73.73764174,108.8230651,147.7804715,230.6509858,,,,,,,-,492.47,492.47
6,127,681.1429707,108.8831791,395.0130749,24,6,6,12,476.8,476.8,-,4621.58,12677.51,2896.385396,4,108.8831791,251.948127,395.0130749,538.0780228,681.1429707,,,,,,,55.54849097,86.79529428,122.2778072,208.0140173,,,,,,,-,476.8,476.8
7,63,645.3769955,173.8233547,409.6001751,24,6,6,12,451.76,451.76,-,16713.02,51986.17,7658.696126,4,173.8233547,291.7117649,409.6001751,527.4885853,645.3769955,,,,,,,112.3588339,151.1552786,192.7761003,256.687509,,,,,,,-,451.76,451.76
8,31,636.8464195,155.0405657,395.9434926,24,6,6,12,445.79,445.79,-,22289.93,24200.72,3902.516003,4,155.0405657,275.4920291,395.9434926,516.3949561,636.8464195,,,,,,,61.22554848,84.11786136,109.3983065,138.4049003,,,,,,,-,445.79,445.79
9,131,597.7985918,70,333.8992959,24,6,6,12,418.46,418.46,-,32448.29,38401.37,4983.4408,4,70,201.9496479,333.8992959,465.8489438,597.7985918,,,,,,,80.59280757,113.2985377,152.204546,194.241123,,,,,,,-,418.46,418.46
10,132,591.6263353,179.2749168,385.4506261,24,6,6,12,414.14,414.14,-,6261.49,13501.19,4442.077758,4,179.2749168,282.3627714,385.4506261,488.5384807,591.6263353,,,,,,,71.55717465,102.8768554,145.4050179,204.1460205,,,,,,,-,414.14,414.14
11,139,550.9475061,158.3840859,354.665796,24,6,6,12,385.66,385.66,-,5941.44,13406.37,3947.153655,4,158.3840859,256.524941,354.665796,452.806651,550.9475061,,,,,,,64.28069544,92.85602643,130.9685913,187.318355,,,,,,,-,385.66,385.66
12,176,542.9775657,147.2043617,345.0909637,24,6,6,12,380.08,380.08,-,6137.4,13590.57,3935.419844,4,147.2043617,246.1476627,345.0909637,444.0342647,542.9775657,,,,,,,65.40943145,94.89917612,130.9995031,184.3775863,,,,,,,-,380.08,380.08
13,125,469.6299955,104.8837668,287.2568812,24,6,6,12,328.74,328.74,-,12664.95,17282.59,3300.440657,4,104.8837668,196.070324,287.2568811,378.4434383,469.6299955,,,,,,,66.91224815,102.3800656,141.8142199,221.631356,,,,,,,-,328.74,328.74
14,64,447.710655,145.9641114,296.8373832,24,6,6,12,313.4,313.4,-,13618.72,29747.57,6197.148684,4,145.9641114,221.4007473,296.8373832,372.2740191,447.710655,,,,,,,84.63966158,108.4197066,135.897402,164.2441189,,,,,,,-,313.4,313.4
15,105,424.9266265,179.6183686,302.2724976,24,6,6,12,297.45,297.45,-,16842.38,36397.87,7516.444333,4,179.6183686,240.9454331,302.2724975,363.599562,424.9266265,,,,,,,94.27376396,113.8614105,134.3449182,155.9377619,,,,,,,-,297.45,297.45
16,42,406.7248109,79.82185012,243.2733305,24,6,6,12,284.71,284.71,-,21070.42,38321.47,3792.801389,4,79.82185012,161.5475903,243.2733305,324.9990707,406.7248109,,,,,,,70.46377482,103.9038963,141.1809449,179.8917517,,,,,,,-,284.71,284.71
17,44,405.8058158,86.8680463,246.3369311,24,6,6,12,284.06,284.06,-,21398.32,37576.12,4432.690946,4,86.8680463,166.6024887,246.3369311,326.0713735,405.8058158,,,,,,,77.9863513,113.2138732,161.081802,210.7186264,,,,,,,-,284.06,284.06
18,43,404.6607277,89.93452961,247.2976287,24,6,6,12,283.26,283.26,-,26932.85,45632.5,4101.688758,4,89.93452961,168.6160791,247.2976286,325.9791781,404.6607277,,,,,,,68.5303297,97.17192133,132.8659196,170.0782398,,,,,,,-,283.26,283.26
19,29,398.8454193,72.4628343,235.6541268,24,4,4,8,279.19,279.19,-,26532.92,41309.53,3549.34383,4,72.4628343,154.0584806,235.6541268,317.2497731,398.8454193,,,,,,,74.71174385,115.2303516,160.7899839,207.4558899,,,,,,,-,279.19,279.19
