BusNo,PL
1,67.0029761
2,26.27397825
3,51.23611397
4,39.41715532
6,68.31481864
7,24.96213572
11,91.96511184
12,61.7432301
13,44.66452545
14,18.39054719
15,118.2390901
16,32.84556678
17,14.4550196
18,78.82193476
19,59.11954503
20,23.65029319
21,18.39054719
22,13.14317707
23,9.195273593
27,81.45799569
28,22.33845066
29,31.53372425
31,56.49585997
32,77.51009223
33,30.22188172
34,77.51009223
35,43.35268291
36,40.72899785
39,33.41485694
40,24.75174588
41,45.79072988
42,45.79072988
43,22.2765713
44,19.80139671
45,65.59212659
46,34.65244423
47,42.077968
48,24.75174588
49,107.6700946
50,21.038984
51,21.038984
52,22.2765713
53,28.46450776
54,139.8473643
55,77.96799953
56,103.9573327
57,14.85104753
58,14.85104753
59,342.8116804
60,96.53180898
62,95.29422168
66,48.26590447
67,34.65244423
70,81.68076141
74,84.15593599
75,58.16660282
76,84.15593599
77,75.49282494
78,87.86869788
79,48.26590447
80,160.8863483
82,66.82971388
83,24.75174588
84,13.61346024
85,29.70209505
86,25.98933318
88,59.40419012
90,96.53180898
92,80.44317411
93,14.85104753
94,37.12761882
95,51.97866635
96,47.02831717
97,18.56380941
98,42.077968
100,45.79072988
101,27.22692047
102,6.187936471
103,28.46450776
104,47.02831717
105,38.36520611
106,53.21625364
107,34.65244423
108,2.475174588
109,9.900698349
110,48.26590447
112,30.93968235
114,10.50711612
115,28.89766332
117,26.27397825
118,40.8403807
