t,Load,Reserve,rate,case118_1_top_demand
1,3594.36,179.718,0.778,4620
2,3492.72,174.636,0.756,
3,3358.74,167.937,0.727,
4,3252.48,162.624,0.704,
5,3197.04,159.852,0.692,
6,3192.42,159.621,0.691,
7,3335.64,166.782,0.722,
8,3663.66,183.183,0.793,
9,4010.16,200.508,0.868,
10,4370.52,218.526,0.946,
11,4425.96,221.298,0.958,
12,4439.82,221.991,0.961,
13,4028.64,201.432,0.872,
14,3950.1,197.505,0.855,
15,4111.8,205.59,0.89,
16,4181.1,209.055,0.905,
17,4305.84,215.292,0.932,
18,4504.5,225.225,0.975,
19,4546.08,227.304,0.984,
20,4620,231,1,
21,4513.74,225.687,0.977,
22,4407.48,220.374,0.954,
23,4171.86,208.593,0.903,
24,3848.46,192.423,0.833,
