line,BusFrom,BusTo,X,Pmin,Pmax,ratio,IsBuildPlineLimit
1,1,2,0.0999,-1524.206285,1524.206285,1,YES
2,1,3,0.0424,-1524.206285,1524.206285,1,YES
3,4,5,0.00798,-2177.43755,2177.43755,1,YES
4,3,5,0.108,-1524.206285,1524.206285,1,YES
5,5,6,0.054,-1524.206285,1524.206285,1,NO
6,6,7,0.0208,-1524.206285,1524.206285,1,NO
7,8,9,0.0305,-2177.43755,2177.43755,1,NO
8,8,5,0.0267,-2177.43755,2177.43755,1,NO
9,9,10,0.0322,-2177.43755,2177.43755,1,NO
10,4,11,0.0688,-1524.206285,1524.206285,1,NO
11,5,11,0.0682,-1524.206285,1524.206285,1,NO
12,11,12,0.0196,-1524.206285,1524.206285,1,NO
13,2,12,0.0616,-1524.206285,1524.206285,1,NO
14,3,12,0.16,-1524.206285,1524.206285,1,NO
15,7,12,0.034,-1524.206285,1524.206285,1,NO
16,11,13,0.0731,-1524.206285,1524.206285,1,NO
17,12,14,0.0707,-1524.206285,1524.206285,1,NO
18,13,15,0.2444,-1524.206285,1524.206285,1,NO
19,14,15,0.195,-1524.206285,1524.206285,1,NO
20,12,16,0.0834,-1524.206285,1524.206285,1,NO
21,15,17,0.0437,-2177.43755,2177.43755,1,NO
22,16,17,0.1801,-1524.206285,1524.206285,1,NO
23,17,18,0.0505,-1524.206285,1524.206285,1,NO
24,18,19,0.0493,-1524.206285,1524.206285,1,NO
25,19,20,0.117,-1524.206285,1524.206285,1,NO
26,15,19,0.0394,-1524.206285,1524.206285,1,NO
27,20,21,0.0849,-1524.206285,1524.206285,1,NO
28,21,22,0.097,-1524.206285,1524.206285,1,NO
29,22,23,0.159,-1524.206285,1524.206285,1,NO
30,23,24,0.0492,-1524.206285,1524.206285,1,NO
31,23,25,0.08,-2177.43755,2177.43755,1,NO
32,26,25,0.0382,-2177.43755,2177.43755,1,NO
33,25,27,0.163,-2177.43755,2177.43755,1,NO
34,27,28,0.0855,-1524.206285,1524.206285,1,NO
35,28,29,0.0943,-1524.206285,1524.206285,1,NO
36,30,17,0.0388,-2177.43755,2177.43755,1,NO
37,8,30,0.0504,-1524.206285,1524.206285,1,NO
38,26,30,0.086,-2177.43755,2177.43755,1,NO
39,17,31,0.1563,-1524.206285,1524.206285,1,NO
40,29,31,0.0331,-1524.206285,1524.206285,1,NO
41,23,32,0.1153,-1219.365028,1219.365028,1,NO
42,31,32,0.0985,-1524.206285,1524.206285,1,NO
43,27,32,0.0755,-1524.206285,1524.206285,1,NO
44,15,33,0.1244,-1524.206285,1524.206285,1,NO
45,19,34,0.247,-1524.206285,1524.206285,1,NO
46,35,36,0.0102,-1524.206285,1524.206285,1,NO
47,35,37,0.0497,-1524.206285,1524.206285,1,NO
48,33,37,0.142,-1524.206285,1524.206285,1,NO
49,34,36,0.0268,-1524.206285,1524.206285,1,NO
50,34,37,0.0094,-2177.43755,2177.43755,1,NO
51,38,37,0.0375,-2177.43755,2177.43755,1,NO
52,37,39,0.106,-1524.206285,1524.206285,1,NO
53,37,40,0.168,-1524.206285,1524.206285,1,NO
54,30,38,0.054,-1524.206285,1524.206285,1,NO
55,39,40,0.0605,-1524.206285,1524.206285,1,NO
56,40,41,0.0487,-1524.206285,1524.206285,1,NO
57,40,42,0.183,-1524.206285,1524.206285,1,NO
58,41,42,0.135,-1524.206285,1524.206285,1,NO
59,43,44,0.2454,-1524.206285,1524.206285,1,NO
60,34,43,0.1681,-1524.206285,1524.206285,1,NO
61,44,45,0.0901,-1524.206285,1524.206285,1,NO
62,45,46,0.1356,-1524.206285,1524.206285,1,NO
63,46,47,0.127,-1524.206285,1524.206285,1,NO
64,46,48,0.189,-1524.206285,1524.206285,1,NO
65,47,49,0.0625,-1524.206285,1524.206285,1,NO
66,42,49,0.323,-1524.206285,1524.206285,1,NO
67,42,49,0.323,-1524.206285,1524.206285,1,NO
68,45,49,0.186,-1524.206285,1524.206285,1,NO
69,48,49,0.0505,-1524.206285,1524.206285,1,NO
70,49,50,0.0752,-1524.206285,1524.206285,1,NO
71,49,51,0.137,-1524.206285,1524.206285,1,NO
72,51,52,0.0588,-1524.206285,1524.206285,1,NO
73,52,53,0.1635,-1524.206285,1524.206285,1,NO
74,53,54,0.122,-1524.206285,1524.206285,1,NO
75,49,54,0.289,-1524.206285,1524.206285,1,NO
76,49,54,0.291,-1524.206285,1524.206285,1,NO
77,54,55,0.0707,-1524.206285,1524.206285,1,NO
78,54,56,0.00955,-1524.206285,1524.206285,1,NO
79,55,56,0.0151,-1524.206285,1524.206285,1,NO
80,56,57,0.0966,-1524.206285,1524.206285,1,NO
81,50,57,0.134,-1524.206285,1524.206285,1,NO
82,56,58,0.0966,-1524.206285,1524.206285,1,NO
83,51,58,0.0719,-1524.206285,1524.206285,1,NO
84,54,59,0.2293,-1524.206285,1524.206285,1,NO
85,56,59,0.251,-1524.206285,1524.206285,1,NO
86,56,59,0.239,-1524.206285,1524.206285,1,NO
87,55,59,0.2158,-1524.206285,1524.206285,1,NO
88,59,60,0.145,-1524.206285,1524.206285,1,NO
89,59,61,0.15,-1524.206285,1524.206285,1,NO
90,60,61,0.0135,-2177.43755,2177.43755,1,NO
91,60,62,0.0561,-1524.206285,1524.206285,1,NO
92,61,62,0.0376,-1524.206285,1524.206285,1,NO
93,63,59,0.0386,-2177.43755,2177.43755,1,NO
94,63,64,0.02,-2177.43755,2177.43755,1,NO
95,64,61,0.0268,-2177.43755,2177.43755,1,NO
96,38,65,0.0986,-2177.43755,2177.43755,1,NO
97,64,65,0.0302,-2177.43755,2177.43755,1,NO
98,49,66,0.0919,-2177.43755,2177.43755,1,NO
99,49,66,0.0919,-2177.43755,2177.43755,1,NO
100,62,66,0.218,-1524.206285,1524.206285,1,NO
101,62,67,0.117,-1524.206285,1524.206285,1,NO
102,65,66,0.037,-2177.43755,2177.43755,1,NO
103,66,67,0.1015,-1524.206285,1524.206285,1,NO
104,65,68,0.016,-2177.43755,2177.43755,1,NO
105,47,69,0.2778,-1524.206285,1524.206285,1,NO
106,49,69,0.324,-1524.206285,1524.206285,1,NO
107,68,69,0.037,-2177.43755,2177.43755,1,NO
108,69,70,0.127,-2177.43755,2177.43755,1,NO
109,24,70,0.4115,-1524.206285,1524.206285,1,NO
110,70,71,0.0355,-1524.206285,1524.206285,1,NO
111,24,72,0.196,-1524.206285,1524.206285,1,NO
112,71,72,0.18,-1524.206285,1524.206285,1,NO
113,71,73,0.0454,-1524.206285,1524.206285,1,NO
114,70,74,0.1323,-1524.206285,1524.206285,1,NO
115,70,75,0.141,-1524.206285,1524.206285,1,NO
116,69,75,0.122,-2177.43755,2177.43755,1,NO
117,74,75,0.0406,-1524.206285,1524.206285,1,NO
118,76,77,0.148,-1524.206285,1524.206285,1,NO
119,69,77,0.101,-1524.206285,1524.206285,1,NO
120,75,77,0.1999,-1524.206285,1524.206285,1,NO
121,77,78,0.0124,-1524.206285,1524.206285,1,NO
122,78,79,0.0244,-1524.206285,1524.206285,1,NO
123,77,80,0.0485,-2177.43755,2177.43755,1,NO
124,77,80,0.105,-2177.43755,2177.43755,1,NO
125,79,80,0.0704,-1524.206285,1524.206285,1,NO
126,68,81,0.0202,-2177.43755,2177.43755,1,NO
127,81,80,0.037,-2177.43755,2177.43755,1,NO
128,77,82,0.0853,-1741.95004,1741.95004,1,NO
129,82,83,0.03665,-1741.95004,1741.95004,1,NO
130,83,84,0.132,-1524.206285,1524.206285,1,NO
131,83,85,0.148,-1524.206285,1524.206285,1,NO
132,84,85,0.0641,-1524.206285,1524.206285,1,NO
133,85,86,0.123,-2177.43755,2177.43755,1,NO
134,86,87,0.2074,-2177.43755,2177.43755,1,NO
135,85,88,0.102,-1524.206285,1524.206285,1,NO
136,85,89,0.173,-1524.206285,1524.206285,1,NO
137,88,89,0.0712,-2177.43755,2177.43755,1,NO
138,89,90,0.188,-2177.43755,2177.43755,1,NO
139,89,90,0.0997,-2177.43755,2177.43755,1,NO
140,90,91,0.0836,-1524.206285,1524.206285,1,NO
141,89,92,0.0505,-2177.43755,2177.43755,1,NO
142,89,92,0.1581,-2177.43755,2177.43755,1,NO
143,91,92,0.1272,-1524.206285,1524.206285,1,NO
144,92,93,0.0848,-1524.206285,1524.206285,1,NO
145,92,94,0.158,-1524.206285,1524.206285,1,NO
146,93,94,0.0732,-1524.206285,1524.206285,1,NO
147,94,95,0.0434,-1524.206285,1524.206285,1,NO
148,80,96,0.182,-1524.206285,1524.206285,1,NO
149,82,96,0.053,-1524.206285,1524.206285,1,NO
150,94,96,0.0869,-1524.206285,1524.206285,1,NO
151,80,97,0.0934,-1524.206285,1524.206285,1,NO
152,80,98,0.108,-1524.206285,1524.206285,1,NO
153,80,99,0.206,-1741.95004,1741.95004,1,NO
154,92,100,0.295,-1524.206285,1524.206285,1,NO
155,94,100,0.058,-1524.206285,1524.206285,1,NO
156,95,96,0.0547,-1524.206285,1524.206285,1,NO
157,96,97,0.0885,-1524.206285,1524.206285,1,NO
158,98,100,0.179,-1524.206285,1524.206285,1,NO
159,99,100,0.0813,-1524.206285,1524.206285,1,NO
160,100,101,0.1262,-1524.206285,1524.206285,1,NO
161,92,102,0.0559,-1524.206285,1524.206285,1,NO
162,101,102,0.112,-1524.206285,1524.206285,1,NO
163,100,103,0.0525,-2177.43755,2177.43755,1,NO
164,100,104,0.204,-1524.206285,1524.206285,1,NO
165,103,104,0.1584,-1524.206285,1524.206285,1,NO
166,103,105,0.1625,-1524.206285,1524.206285,1,NO
167,100,106,0.229,-1524.206285,1524.206285,1,NO
168,104,105,0.0378,-1524.206285,1524.206285,1,NO
169,105,106,0.0547,-1524.206285,1524.206285,1,NO
170,105,107,0.183,-1524.206285,1524.206285,1,NO
171,105,108,0.0703,-1524.206285,1524.206285,1,NO
172,106,107,0.183,-1524.206285,1524.206285,1,NO
173,108,109,0.0288,-1524.206285,1524.206285,1,NO
174,103,110,0.1813,-1524.206285,1524.206285,1,NO
175,109,110,0.0762,-1524.206285,1524.206285,1,NO
176,110,111,0.0755,-1524.206285,1524.206285,1,NO
177,110,112,0.064,-1524.206285,1524.206285,1,NO
178,17,113,0.0301,-1524.206285,1524.206285,1,NO
179,32,113,0.203,-2177.43755,2177.43755,1,NO
180,32,114,0.0612,-1524.206285,1524.206285,1,NO
181,27,115,0.0741,-1524.206285,1524.206285,1,NO
182,114,115,0.0104,-1524.206285,1524.206285,1,NO
183,68,116,0.00405,-2177.43755,2177.43755,1,NO
184,12,117,0.14,-1524.206285,1524.206285,1,NO
185,75,118,0.0481,-1524.206285,1524.206285,1,NO
186,76,118,0.0544,-1524.206285,1524.206285,1,NO
