genName,BusId,pmax,pmin,init_output,init_opration,MinOnTime,MinOffTime,ColdStartTime,ramp_up,ramp_down,startup_times,hot_start,cold_start,min_cost,segments,segment1,segment2,segment3,segment4,segment5,segment6,segment7,segment8,segment9,segment10,segment11,cost1,cost2,cost3,cost4,cost5,cost6,cost7,cost8,cost9,cost10,zone,Pstart,Pshut
1,66,420,100,300,17,5,5,2,420,420,-,2544,5088,895.73,4,100,180,260,340,420,,,,,,,4.64444,4.78412,4.9238,5.06348,,,,,,,-,294,294
2,65,420,100,300,24,5,5,2,420,420,-,2310.8,4621.6,1048.23,4,100,180,260,340,420,,,,,,,6.11444,6.13412,6.1538,6.17348,,,,,,,-,294,294
3,26,350,100,250,23,4,4,1,350,350,-,2024.9,4049.8,741.38,4,100,162.5,225,287.5,350,,,,,,,2.526225,2.543475,2.560725,2.577975,,,,,,,-,245,245
4,10,300,150,200,18,4,4,2,300,300,-,1530.6,3061.2,911.64,4,150,187.5,225,262.5,300,,,,,,,3.3921,3.4659,3.5397,3.6135,,,,,,,-,210,210
5,12,300,100,100,13,4,4,2,300,300,-,1542.4,3084.8,863.72,4,100,150,200,250,300,,,,,,,4.458,4.5452,4.6324,4.7196,,,,,,,-,210,210
6,87,300,100,0,-16,4,4,2,300,300,-,1537.7,3075.4,807.72,4,100,150,200,250,300,,,,,,,3.938,4.0052,4.0724,4.1396,,,,,,,-,210,210
7,25,300,100,200,10,4,4,2,300,300,-,1555,3110,879.27,4,100,150,200,250,300,,,,,,,5.64425,5.70195,5.75965,5.81735,,,,,,,-,210,210
8,92,300,100,0,-8,4,4,1,300,300,-,1547.3,3094.6,914.79,4,100,150,200,250,300,,,,,,,4.76225,4.77515,4.78805,4.80095,,,,,,,-,210,210
9,100,300,100,0,-15,4,4,2,300,300,-,1528.9,3057.8,597.96,4,100,150,200,250,300,,,,,,,3.039,3.0986,3.1582,3.2178,,,,,,,-,210,210
10,99,300,100,0,-9,4,4,1,300,300,-,1521.6,3043.2,606.68,4,100,150,200,250,300,,,,,,,2.3895,2.4813,2.5731,2.6649,,,,,,,-,210,210
11,80,300,150,0,-13,4,4,2,300,300,-,1583.3,3166.6,1683.94,4,150,187.5,225,262.5,300,,,,,,,8.6216,8.6864,8.7512,8.816,,,,,,,-,210,210
12,69,300,80,200,19,4,4,1,300,300,-,1585.4,3170.8,1100.7096,4,80,135,190,245,300,,,,,,,8.60751,8.64205,8.67659,8.71113,,,,,,,-,210,210
13,54,250,50,0,-20,4,4,1,250,250,-,1096.4,2192.8,925.965,4,50,100,150,200,250,,,,,,,9.7879,9.8865,9.9851,10.0837,,,,,,,-,175,175
14,49,250,50,0,-22,3,3,2,250,250,-,1081.2,2162.4,785.6925,4,50,100,150,200,250,,,,,,,8.19155,8.23925,8.28695,8.33465,,,,,,,-,175,175
15,89,200,50,0,-15,3,3,2,200,200,-,1032.2,2064.4,504.55,4,50,87.5,125,162.5,200,,,,,,,3.33275,3.39425,3.45575,3.51725,,,,,,,-,140,140
16,59,200,50,0,-23,3,3,1,200,200,-,1065.8,2131.6,749.9375,4,50,87.5,125,162.5,200,,,,,,,6.6865625,6.7446875,6.8028125,6.8609375,,,,,,,-,140,140
17,61,200,50,0,-8,3,3,2,200,200,-,1065.5,2131,614.1125,4,50,87.5,125,162.5,200,,,,,,,6.6386875,6.6870625,6.7354375,6.7838125,,,,,,,-,140,140
18,111,100,25,0,-20,3,3,2,100,100,-,728.3,1456.6,431.3425,4,25,43.75,62.5,81.25,100,,,,,,,2.895175,2.930725,2.966275,3.001825,,,,,,,-,50,50
19,112,100,25,0,-9,3,3,1,100,100,-,757.2,1514.4,560.56875,4,25,43.75,62.5,81.25,100,,,,,,,5.7825625,5.8166875,5.8508125,5.8849375,,,,,,,-,50,50
20,105,100,25,0,-23,3,3,1,100,100,-,741.3,1482.6,404.51,4,25,43.75,62.5,81.25,100,,,,,,,4.1586,4.1742,4.1898,4.2054,,,,,,,-,50,50
21,104,100,25,0,-11,3,3,1,100,100,-,753.1,1506.2,514.3775,4,25,43.75,62.5,81.25,100,,,,,,,5.324025,5.331675,5.339325,5.346975,,,,,,,-,50,50
22,18,100,25,0,-24,3,3,1,100,100,-,722.9,1445.8,485.200625,4,25,43.75,62.5,81.25,100,,,,,,,2.33956875,2.36660625,2.39364375,2.42068125,,,,,,,-,50,50
23,32,100,25,0,-8,3,3,1,100,100,-,779.1,1558.2,531.32875,4,25,43.75,62.5,81.25,100,,,,,,,7.9186625,7.9233875,7.9281125,7.9328375,,,,,,,-,50,50
24,113,100,25,0,-17,3,3,1,100,100,-,746.1,1492.2,400.811875,4,25,43.75,62.5,81.25,100,,,,,,,4.67180625,4.70551875,4.73923125,4.77294375,,,,,,,-,50,50
25,36,100,25,0,-17,3,3,2,100,100,-,759.5,1519,426.23625,4,25,43.75,62.5,81.25,100,,,,,,,6.0034875,6.0326625,6.0618375,6.0910125,,,,,,,-,50,50
26,55,100,25,0,-20,3,3,2,100,100,-,777.4,1554.8,475.254375,4,25,43.75,62.5,81.25,100,,,,,,,7.76798125,7.78324375,7.79850625,7.81376875,,,,,,,-,50,50
27,56,100,25,0,-19,3,3,2,100,100,-,740.1,1480.2,356.4725,4,25,43.75,62.5,81.25,100,,,,,,,4.034475,4.047825,4.061175,4.074525,,,,,,,-,50,50
28,46,100,25,0,-13,3,3,2,100,100,-,782.3,1564.6,460.36375,4,25,43.75,62.5,81.25,100,,,,,,,8.2425125,8.2493375,8.2561625,8.2629875,,,,,,,-,50,50
29,62,100,25,0,-18,3,3,1,100,100,-,743.7,1487.4,608.379375,4,25,43.75,62.5,81.25,100,,,,,,,4.38423125,4.39199375,4.39975625,4.40751875,,,,,,,-,50,50
30,82,100,25,0,-16,3,3,2,100,100,-,712.5,1425,327.846875,4,25,43.75,62.5,81.25,100,,,,,,,1.31565625,1.35146875,1.38728125,1.42309375,,,,,,,-,50,50
31,76,100,25,0,-11,3,3,2,100,100,-,717.8,1435.6,367.964375,4,25,43.75,62.5,81.25,100,,,,,,,1.83108125,1.85894375,1.88680625,1.91466875,,,,,,,-,50,50
32,77,100,25,0,-16,3,3,2,100,100,-,777,1554,556.61125,4,25,43.75,62.5,81.25,100,,,,,,,7.7672375,7.8039125,7.8405875,7.8772625,,,,,,,-,50,50
33,70,80,30,0,-21,1,1,2,80,80,-,568.7,1137.4,464.84,4,30,42.5,55,67.5,80,,,,,,,7.4935,7.7085,7.9235,8.1385,,,,,,,-,40,40
34,110,50,25,0,-13,2,2,2,50,50,-,675.7,1351.4,927.475,4,25,31.25,37.5,43.75,50,,,,,,,18.08525,18.19975,18.31425,18.42875,,,,,,,-,50,50
35,91,50,20,0,-16,2,2,0,50,50,-,688.8,1377.6,677.356,4,20,27.5,35,42.5,50,,,,,,,19.1479,19.2325,19.3171,19.4017,,,,,,,-,50,50
36,116,50,25,0,-16,1,1,0,50,50,-,655,1310,849.6875,4,25,31.25,37.5,43.75,50,,,,,,,15.561875,15.575625,15.589375,15.603125,,,,,,,-,50,50
