policy,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
RPB,52225068.2,51658394,A1,693,1810,299782,494,4.365,0,409,500,0.01097,timelimit,57,0,499.378,495.312
RPB,52085165.5,51872368.5,A2,412,658,260616,361,3.464,0,446,500,0.004102,timelimit,104,0,499.374,495.094
RPB,52785021.8,52444028.3,A3,428,1904,272669,310,2.929,0,396,500,0.006502,timelimit,71,0,499.712,494.797
RPB,52110141.2,51908188.9,A4,1256,1493,358483,861,7.374,0,449,500,0.003891,timelimit,162,0,499.047,494.906
RPB,53123750.8,53123750.8,A5,523,1417,259750,339,3.198,0,396,479,0,optimal,76,0,479.217,474.453
RPB,52805839.6,52371675,A6,722,1988,393520,509,4.468,0,408,500,0.00829,timelimit,70,0,499.408,494.625
RPB,55338230.4,55338230.4,A7,563,987,288745,408,3.418,0,325,376,0,optimal,75,0,375.864,372.391
RPB,55325541.2,55325541.2,A8,1598,1813,260054,930,7.189,0,347,406,0,optimal,49,0,405.845,402.141
RPB,52542511.2,52542511.2,A9,621,945,252115,456,4.077,0,407,459,0,optimal,109,0,459.208,455.453
RPB,56531172,56512632.5,A10,1663,2138,197250,1232,10.271,0,440,500,0.000328,timelimit,128,0,499.371,493.375
Wei,52058503.8,51770993.2,A1,2888,1526,318845,2027,17.135,54.551,410,500,0.005554,timelimit,0,0,499.362,502
Wei,52079044.6,52062358.5,A2,1380,389,209423,744,11.317,36.039,403,500,0.000321,timelimit,0,0,499.752,470.797
Wei,52738584.6,52433157.8,A3,865,2207,397203,575,4.988,27.483,394,500,0.005825,timelimit,0,0,499.815,497.969
Wei,52110141.2,52110141.2,A4,904,591,335926,509,4.447,20.382,252,303,0,optimal,0,0,303.019,301.797
Wei,53123750.8,53123750.8,A5,940,1148,297279,473,4.113,19.391,268,352,0,optimal,0,0,352.124,350.406
Wei,52757578.6,52428753.3,A6,466,1664,611834,329,2.996,29.73,408,500,0.006272,timelimit,0,0,499.329,495.906
Wei,55338230.4,55338230.4,A7,1208,534,189205,635,5.097,17.698,165,216,0,optimal,0,0,216.559,216.203
Wei,55325541.2,55325541.2,A8,2486,593,224395,1376,10.468,33.838,231,289,0,optimal,0,0,288.749,289.875
Wei,52542511.2,52542511.2,A9,877,788,305261,475,4.023,20.143,194,246,0,optimal,0,0,246.554,246.094
Wei,56531172,56497548.3,A10,3898,991,378464,2063,17.172,57.96,439,500,0.000595,timelimit,0,0,499.398,500.078
PGNN,52051810.7,51813114.9,A1,948,1632,494874,582,5.043,36.071,410,500,0.004607,timelimit,0,0,499.504,498.453
PGNN,52079044.6,52079044.6,A2,918,507,213960,549,5.181,17.491,166,220,0,optimal,0,0,219.731,220.062
PGNN,52737178.8,52689371.7,A3,2002,1842,262868,1139,9.558,31.557,395,500,0.000907,timelimit,0,0,499.276,498.391
PGNN,52110141.2,52110141.2,A4,771,429,305451,445,3.976,17.325,210,261,0,optimal,0,0,260.827,259.453
PGNN,53123750.8,53123750.8,A5,349,1009,203005,178,1.645,10.706,172,255,0,optimal,0,0,254.967,253.953
PGNN,52752827.1,52706259.3,A6,3913,3066,356726,2147,17.826,75.275,408,500,0.000884,timelimit,0,0,499.351,502
PGNN,55338230.4,55338230.4,A7,1219,645,119487,663,5.35,21.176,139,190,0,optimal,0,0,190.407,190.672
PGNN,55325541.2,55325541.2,A8,1409,531,178945,769,5.93,21.765,144,203,0,optimal,0,0,202.692,204.172
PGNN,52542511.2,52542511.2,A9,939,503,200092,494,4.081,16.592,164,216,0,optimal,0,0,215.492,214.172
PGNN,56531172,56531172,A10,2199,711,155907,1105,9.249,29.83,301,362,0,optimal,0,0,362.121,362.906
