policy,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime
RPB,7240383.2,7233912.3,P1,1783,3540,157436,1563,16.253,0,453,500,0.000895,timelimit,498,0,499.353,495.359
RPB,7276084.9,7262974.5,P2,1756,2971,142524,1474,15.438,0,450,500,0.001805,timelimit,359,0,499.366,495.062
RPB,7415121.1,7409215,P3,3202,4539,203432,2263,23.261,0,456,500,0.000797,timelimit,355,0,499.666,496.188
RPB,7188019.8,7182823.5,P4,2432,3455,138668,1861,19.153,0,454,500,0.000723,timelimit,349,0,499.346,494.641
RPB,6994742.9,6977840.8,P5,1275,2402,169671,1370,15.436,0,450,500,0.002422,timelimit,327,0,499.352,493.422
RPB,7250660.6,7250660.6,P6,1621,3041,147631,1397,14.386,0,413,468,0,optimal,470,0,467.654,463.5
RPB,7200942.5,7191568.1,P7,1768,3206,162367,1534,15.884,0,449,500,0.001304,timelimit,425,0,499.283,495.266
RPB,7173120.4,7148236,P8,221,705,96391,324,6.748,0,403,500,0.003481,timelimit,170,0,499.895,468.516
RPB,7177843.8,7168436.4,P9,272,787,87515,378,7.669,0,397,500,0.001312,timelimit,186,0,499.838,469.531
RPB,7548138.8,7496921.3,P10,187,472,99754,259,5.962,0,398,500,0.006832,timelimit,79,0,499.888,460.281
Wei,7240640.4,7236055,P1,3400,2608,156311,1855,19.045,126.468,453,500,0.000634,timelimit,0,0,499.263,500.375
Wei,7276121.7,7266318.5,P2,3113,2597,219794,1833,18.876,123.804,453,500,0.001349,timelimit,0,0,499.572,505.609
Wei,7414750.2,7411358.8,P3,3668,2562,182725,2192,22.458,125.794,456,500,0.000458,timelimit,0,0,499.525,502.25
Wei,7187971.6,7183516.6,P4,3578,2681,130476,2082,21.669,129.87,454,500,0.00062,timelimit,0,0,499.386,504.25
Wei,6994152.5,6979728.3,P5,2120,2253,278974,1376,14.441,103.148,452,500,0.002067,timelimit,0,0,499.488,499.953
Wei,7250739.8,7248342.7,P6,3548,2541,146677,1922,19.669,122.424,445,500,0.000331,timelimit,0,0,499.455,501.922
Wei,7201258,7192584.9,P7,1998,2338,192791,1250,13.15,94.064,450,500,0.001206,timelimit,0,0,499.31,500.406
Wei,7162656.5,7153208,P8,2965,2440,174882,1799,18.545,128.439,450,500,0.001321,timelimit,0,0,499.354,501.016
Wei,7175816.9,7171007.4,P9,1167,1683,154380,698,14.011,63.215,395,500,0.000671,timelimit,0,0,499.835,468.953
Wei,7515343,7503104.6,P10,873,1338,163956,596,11.767,55.822,403,500,0.001631,timelimit,0,0,499.685,469.109
PGNN,7240383.2,7240383.2,P1,2507,1970,118433,1287,13.352,90.459,313,360,0,optimal,0,0,360.187,360.109
PGNN,7281083.5,7267158.9,P2,2248,2783,208667,1434,15.004,110.603,451,500,0.001916,timelimit,0,0,499.42,499.516
PGNN,7414613.2,7414431.7,P3,3530,3339,140910,1835,19.132,127.604,455,500,2.4e-05,timelimit,0,0,499.305,502.906
PGNN,7187976.8,7185511.2,P4,4215,2329,186876,2367,24.219,112.272,454,500,0.000343,timelimit,0,0,499.957,503.672
PGNN,6991289.2,6981120.7,P5,2228,2811,294372,1304,13.542,102.765,449,500,0.001457,timelimit,0,0,499.229,500.062
PGNN,7250660.6,7250660.6,P6,3579,1357,115238,1824,18.639,120.729,363,418,0,optimal,0,0,417.428,420.609
PGNN,7200749.3,7196111.8,P7,2309,2580,245164,1341,14.141,101.902,448,500,0.000644,timelimit,0,0,499.302,499.078
PGNN,7167302.8,7152400.8,P8,949,1464,185560,574,11.666,54.224,400,500,0.002083,timelimit,0,0,499.786,466
PGNN,7175832,7173429,P9,1232,1652,113178,704,14.048,64.796,394,500,0.000335,timelimit,0,0,499.906,471.906
PGNN,7524849.4,7501519.2,P10,882,1301,147867,622,12.119,58.783,403,500,0.00311,timelimit,0,0,499.794,471.391
