policy,obj,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
RPB,52023835.4,A1,4935,7305,1094444,3047,25.707,0,0,1242,1332,0,optimal,1,1.00 ,715.5,380,1332,1,1,1
Gasse,52224776.6,A1,2816,3568,1311743,1707,16.091,119.046,0,1105,1707,0.011371,timelimit,1,0.78 ,1018.2,265,1771,0.9,0.21,2.48
Wei,52023835.4,A1,18085,4816,568288,9816,81.353,218.641,0,1162,1251,0,optimal,1,1.06 ,500,215,1251,1.6,1.05,2.7
NoPgraph,52023835.4,A1,2923,3112,521076,1622,14.853,62.967,0,539,635,0,optimal,1,2.10 ,358.3,181,635,2.11,1.25,4.18
PGNN,52023835.4,A1,10643,3463,634669,5417,45.063,138.269,0,910,1000,0,optimal,1,1.33 ,387,184,1000,2.08,1.33,3.69
RPB,52079044.6,A2,1035,1694,489536,888,7.737,0,0,703,756,0,optimal,2,1.00 ,,,,,,
Gasse,52079044.6,A2,3345,2194,998007,1808,17.086,94.735,0,1059,1117,0,optimal,2,0.68 ,,,,,,
Wei,52079044.6,A2,1539,417,211596,799,6.937,21.399,0,228,280,0,optimal,2,2.70 ,,,,,,
NoPgraph,52079044.6,A2,499,374,174839,282,2.8,10.911,0,125,181,0,optimal,2,4.18 ,,,,,,
PGNN,52079044.6,A2,918,507,213960,549,4.763,16.813,0,152,205,0,optimal,2,3.69 ,,,,,,
RPB,52735710.5,A3,1196,2922,434852,819,7.098,0,0,684,788,0,optimal,3,1.00 ,,,,,,
Gasse,52735710.5,A3,2741,4305,1180355,1500,14.026,89.517,0,1089,1060,0.00588,timelimit,3,0.74 ,,,,,,
Wei,52735710.5,A3,2896,3166,581931,1482,12.495,53.767,0,605,710,0,optimal,3,1.11 ,,,,,,
NoPgraph,52735710.5,A3,1831,2945,421082,979,8.127,36.1,0,498,601,0,optimal,3,1.31 ,,,,,,
PGNN,52735710.5,A3,2418,2025,281582,1262,10.786,37.172,0,419,522,0,optimal,3,1.51 ,,,,,,
RPB,52110141.2,A4,1500,1878,479430,1050,9.077,0,0,549,599,0,optimal,4,1.00 ,,,,,,
Gasse,52110141.2,A4,2408,1757,968398,1270,10.644,69.774,0,727,767,0,optimal,4,0.78 ,,,,,,
Wei,52110141.2,A4,904,591,335926,509,4.427,19.541,0,247,297,0,optimal,4,2.02 ,,,,,,
NoPgraph,52110141.2,A4,553,607,267700,303,2.687,14.434,0,187,237,0,optimal,4,2.53 ,,,,,,
PGNN,52110141.2,A4,771,429,305451,445,3.947,15.091,0,204,254,0,optimal,4,2.36 ,,,,,,
RPB,53123750.8,A5,523,1417,259750,339,3.098,0,0,388,470,0,optimal,5,1.00 ,,,,,,
Gasse,53123750.8,A5,1525,2024,1049381,770,6.625,56.653,0,833,915,0,optimal,5,0.51 ,,,,,,
Wei,53123750.8,A5,940,1148,297279,473,4.02,19.813,0,267,350,0,optimal,5,1.34 ,,,,,,
NoPgraph,53123750.8,A5,399,1034,232808,216,2.104,10.591,0,182,265,0,optimal,5,1.77 ,,,,,,
PGNN,53123750.8,A5,349,1009,203005,178,1.65,8.737,0,170,253,0,optimal,5,1.86 ,,,,,,
RPB,52752827.1,A6,4601,6349,987108,2645,22.186,0,0,1110,1289,0.002556,timelimit,6,1.00 ,,,,,,
Gasse,52785623.6,A6,2659,3517,1348742,1524,13.295,108.634,0,1109,1524,0.009556,timelimit,6,0.85 ,,,,,,
Wei,52752827.1,A6,2124,2545,848948,1128,9.304,55.698,0,625,715,0,optimal,6,1.80 ,,,,,,
NoPgraph,52752827.1,A6,3055,2731,456541,1588,13.394,46.727,0,388,481,0,optimal,6,2.68 ,,,,,,
PGNN,52752827.1,A6,4237,3279,366042,2282,21.388,84.367,0,487,669,0,optimal,6,1.93 ,,,,,,
RPB,55338230.4,A7,563,987,288745,408,3.505,0,0,328,380,0,optimal,7,1.00 ,,,,,,
Gasse,55338230.4,A7,3352,2963,1478818,1771,14.001,121.588,0,1150,1771,0.001326,timelimit,7,0.21 ,,,,,,
Wei,55338230.4,A7,1208,534,189205,635,5.132,17.729,0,162,215,0,optimal,7,1.77 ,,,,,,
NoPgraph,55338230.4,A7,1875,1142,226216,1046,8.504,32.511,0,252,303,0,optimal,7,1.25 ,,,,,,
PGNN,55338230.4,A7,1219,645,119487,663,5.481,17.919,0,134,184,0,optimal,7,2.07 ,,,,,,
RPB,55325541.2,A8,1598,1813,260054,930,7.478,0,0,371,433,0,optimal,8,1.00 ,,,,,,
Gasse,55325541.2,A8,2102,1604,852896,1247,9.579,68.091,0,669,728,0,optimal,8,0.59 ,,,,,,
Wei,55325541.2,A8,2486,593,224395,1376,16.904,53.127,0,337,413,0,optimal,8,1.05 ,,,,,,
NoPgraph,55325541.2,A8,1731,910,253156,1046,8.119,32.043,0,222,281,0,optimal,8,1.54 ,,,,,,
PGNN,55325541.2,A8,1409,531,178945,769,6.051,19.563,0,142,200,0,optimal,8,2.17 ,,,,,,
RPB,52542511.2,A9,621,945,252115,456,4.012,0,0,402,452,0,optimal,9,1.00 ,,,,,,
Gasse,52542511.2,A9,1287,1312,372049,682,5.776,27.702,0,276,328,0,optimal,9,1.38 ,,,,,,
Wei,52542511.2,A9,877,788,305261,475,3.978,19.665,0,193,244,0,optimal,9,1.85 ,,,,,,
NoPgraph,52542511.2,A9,970,821,228948,549,4.706,23.196,0,172,223,0,optimal,9,2.03 ,,,,,,
PGNN,52542511.2,A9,939,503,200092,494,4.309,15.305,0,165,217,0,optimal,9,2.08 ,,,,,,
RPB,56531172,A10,2850,3986,263092,1980,16.788,0,0,594,656,0,optimal,10,1.00 ,,,,,,
Gasse,56531172,A10,865,931,234433,449,3.954,24.681,0,206,265,0,optimal,10,2.48 ,,,,,,
Wei,56531172,A10,4843,1075,386009,2474,20.281,63.218,0,464,525,0,optimal,10,1.25 ,,,,,,
