policy,obj,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
RPB,566004.1,I1,2395,4054,495992,1686,3.115,0,0,151,173,0,optimal,1,1,216.4,65,502,1,1,1
Gasse,566004.1,I1,977,1895,301533,504,1.02,7.971,0,50,72,0,optimal,1,2.4,183.7,52,502,1.33,0.61,2.4
Wei,566004.1,I1,1954,2267,339598,1206,2.288,17.273,0,82,103,0,optimal,1,1.68,163.7,28,536,1.52,0.78,2.56
NoPgraph,566004.1,I1,2477,2246,543280,1605,2.981,21.365,0,103,125,0,optimal,1,1.38,139.5,64,292,1.53,0.94,2.48
PGNN,566004.1,I1,1882,1579,212508,1099,2.206,14.996,0,59,81,0,optimal,1,2.14,131.7,34,388,1.77,0.96,3.95
RPB,576237.5,I2,2039,3117,324905,1324,2.607,0,0,149,169,0,optimal,2,1,,,,,,
Gasse,576237.5,I2,2530,1939,242104,1658,3.383,21.633,0,84,104,0,optimal,2,1.63,,,,,,
Wei,576237.5,I2,4202,2542,309648,3027,6.029,36.775,0,120,140,0,optimal,2,1.21,,,,,,
NoPgraph,576237.5,I2,3806,2528,267931,2768,6.978,34.412,0,136,156,0,optimal,2,1.08,,,,,,
PGNN,576237.5,I2,3569,2246,277509,2310,4.674,26.254,0,102,122,0,optimal,2,1.39,,,,,,
RPB,589534.9,I3,2801,5242,920409,2188,4.44,0,0,395,417,0,optimal,3,1,,,,,,
Gasse,589534.9,I3,4828,4032,893960,2863,5.922,43.245,0,261,283,0,optimal,3,1.47,,,,,,
Wei,589534.9,I3,19387,7588,879298,15876,31.941,187.535,0,514,536,0,optimal,3,0.78,,,,,,
NoPgraph,589534.9,I3,2644,2303,448547,1724,3.514,26.263,0,146,168,0,optimal,3,2.48,,,,,,
PGNN,589534.9,I3,6668,5465,895186,4185,9.121,61.439,0,366,388,0,optimal,3,1.07,,,,,,
RPB,574614.4,I4,2657,3817,673428,1755,3.566,0,0,287,306,0,optimal,4,1,,,,,,
Gasse,574614.4,I4,13296,7335,1248746,9287,18.954,119.713,0,484,502,0,optimal,4,0.61,,,,,,
Wei,574614.4,I4,3366,3450,846901,1963,4.051,30.842,0,237,256,0,optimal,4,1.2,,,,,,
NoPgraph,574614.4,I4,7970,5526,776725,5597,10.42,76.96,0,264,292,0,optimal,4,1.05,,,,,,
PGNN,574614.4,I4,3219,2260,515358,1960,4.049,28.479,0,162,180,0,optimal,4,1.7,,,,,,
RPB,588832.5,I5,1074,1967,285999,717,1.414,0,0,104,125,0,optimal,5,1,,,,,,
Gasse,588832.5,I5,1229,2152,373086,662,1.25,12.25,0,79,99,0,optimal,5,1.26,,,,,,
Wei,588832.5,I5,1443,1764,277429,915,1.718,13.289,0,66,87,0,optimal,5,1.44,,,,,,
NoPgraph,588832.5,I5,1741,1760,390043,1090,2.21,17.552,0,96,120,0,optimal,5,1.04,,,,,,
PGNN,588832.5,I5,1340,1769,415761,757,1.557,12.569,0,97,124,0,optimal,5,1.01,,,,,,
RPB,561755.6,I6,170,277,111448,119,0.253,0,0,45,65,0,optimal,6,1,,,,,,
Gasse,561755.6,I6,531,407,137658,390,1.813,7.062,0,37,74,0,optimal,6,0.88,,,,,,
Wei,561755.6,I6,95,243,119648,49,0.196,0.735,0,9,28,0,optimal,6,2.32,,,,,,
NoPgraph,561755.6,I6,1939,753,156771,1669,3.281,16.453,0,45,64,0,optimal,6,1.02,,,,,,
