policy,obj,type,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
RPB,7240519.1,storage,P1,1347,2791,136248,1340,15.316,0,450,498,0.000993,gaplimit,468,0,498.416,492.438,1,1.00 ,739.2,393,1372,1,1,1
Gasse,7240391.1,storage,P1,5141,4209,326692,2649,27.0182202,185.6914159,679,736,0.000990969,gaplimit,0,0,735.1030966,738.28125,1,0.68 ,754.5,279,1500,1.08,0.66,1.56
Wei,7242076,storage,P1,1140,1282,129410,629,6.596648801,46.2336661,190,237,0.000996323,gaplimit,0,0,236.8217273,237.78125,1,2.10 ,497.2,175,1029,1.71,1.1,2.34
NoPgraph,7241398.8,storage,P1,647,798,100751,355,3.7852277,25.8451931,108,155,0.000907846,gaplimit,0,0,154.8310063,155.328125,1,3.21 ,451.1,155,1112,1.92,1.11,3.21
PGNN,7242075.4,storage,P1,673,840,96347,365,4.076319999,24.4071835,116,162,0.000967027,gaplimit,0,0,161.4724273,161.078125,1,3.07 ,373.6,153,693,2.18,1.42,3.74
RPB,7275654.2,storage,P2,5461,9641,380441,4001,46.776,0,1080,1129,0.000978,gaplimit,1038,0,1129.659,1113.375,2,1.00 ,,,,,,
Gasse,7276721.2,storage,P2,5271,5537,301775,2916,30.2744996,219.4615829,921,968,0.000994132,gaplimit,0,0,967.3902762,969.9375,2,1.17 ,,,,,,
Wei,7275681,storage,P2,6461,4753,271411,3711,43.8717994,213.9520743,934,1029,0.000998438,gaplimit,0,0,1028.841303,1008.265625,2,1.10 ,,,,,,
NoPgraph,7275681,storage,P2,4341,3746,234868,2364,23.68609289,177.5764829,664,713,0.000983253,gaplimit,0,0,712.8068092,716.609375,2,1.58 ,,,,,,
PGNN,7276626.3,storage,P2,4128,3813,235406,2522,25.7133057,158.5930642,644,693,0.000999185,gaplimit,0,0,693.4482982,698.984375,2,1.63 ,,,,,,
RPB,7415136.2,storage,P3,1541,2541,160519,1312,14.629,0,364,409,0.000992,gaplimit,331,0,409.367,405.25,3,1.00 ,,,,,,
Gasse,7415034.2,storage,P3,1301,1420,158961,742,7.802418901,56.573593,241,285,0.000940218,gaplimit,0,0,285.4725288,286.46875,3,1.44 ,,,,,,
Wei,7415068.4,storage,P3,611,743,118970,402,4.345488998,29.4550509,131,175,0.000993294,gaplimit,0,0,174.5461274,174.5625,3,2.34 ,,,,,,
NoPgraph,7414849,storage,P3,1515,1397,149686,853,8.7557402,60.090524,249,293,0.000993033,gaplimit,0,0,293.2489708,295.28125,3,1.40 ,,,,,,
