Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1791,2629,381358,1283,0,0,0,212,234,0,optimal,242,0,233.904,228.328,1,1,689,118,1800,1,1,1
1,Gasse_5k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1223,1488,291660,715,2.91,14.886,0,108,130,0,optimal,0,0,130.871,126.828,1,1.8,461,51,1800,1.81,0.72,3.56
2,Wei_5k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1128,1582,330818,676,2.313,12.535,0,108,150,0,optimal,0,0,150.529,144.938,1,1.56,415,50,1800,2.01,0.72,3.15
3,NoAMILP_5k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1505,1877,360786,844,3.282,16.864,0,139,183,0,optimal,0,0,183.149,175.984,1,1.28,526,62,1800,1.49,0.72,2.58
4,PGNN_5k,2026,566004.1,566004.1,case118_2404/case118_2404.lp,1536,2145,403432,941,2.51,16.518,0,111,142,0,optimal,0,0,142.581,139.312,1,1.65,441,59,1800,1.86,0.72,4.32
0,RPB,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2770,4587,526722,1951,0,0,0,374,410,0,optimal,430,1,409.575,395.75,2,1,,,,,,
1,Gasse_5k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2441,3176,487300,1300,5.155,25.113,0,204,241,0,optimal,0,0,240.775,233.688,2,1.7,,,,,,
2,Wei_5k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,1982,2623,396870,1095,4.464,22.28,0,171,207,0,optimal,0,0,207.092,200.734,2,1.98,,,,,,
3,NoAMILP_5k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,3774,4941,719912,1992,7.504,39.581,0,331,369,0,optimal,0,0,368.754,356.734,2,1.11,,,,,,
4,PGNN_5k,2026,576237.5,576237.5,case118_2405/case118_2405.lp,2172,2996,499432,1131,4.579,22.669,0,217,253,0,optimal,0,0,253.011,244.609,2,1.62,,,,,,
0,RPB,2026,589534.9,589534.9,case118_2433/case118_2433.lp,4264,9025,1440083,3608,0,0,0,905,942,0,optimal,1301,0,942.292,907.391,3,1,,,,,,
1,Gasse_5k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,7161,9635,1656278,3684,13.926,77.716,0,764,801,0,optimal,0,0,800.541,778.906,3,1.18,,,,,,
2,Wei_5k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,5245,6956,1121413,2861,11.222,60.151,0,553,588,0,optimal,0,0,587.714,567.031,3,1.6,,,,,,
3,NoAMILP_5k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,8691,11319,1754383,4346,16.873,93.903,0,871,910,0,optimal,0,0,910.071,873.641,3,1.04,,,,,,
4,PGNN_5k,2026,589534.9,589534.9,case118_2433/case118_2433.lp,6317,8225,1321293,3330,12.62,71.418,0,610,649,0,optimal,0,0,648.298,626.172,3,1.45,,,,,,
0,RPB,2026,574614.4,574614.4,case118_2434/case118_2434.lp,2996,4592,931432,2101,0,0,0,584,618,0,optimal,384,0,617.837,594.453,4,1,,,,,,
1,Gasse_5k,2026,574614.4,574614.4,case118_2434/case118_2434.lp,4969,6069,843839,2650,10.468,52.87,0,425,461,0,optimal,0,0,461.687,445.406,4,1.34,,,,,,
2,Wei_5k,2026,574614.4,574614.4,case118_2434/case118_2434.lp,1529,1923,388205,768,2.94,15.621,0,161,196,0,optimal,0,0,195.171,189.516,4,3.15,,,,,,
3,NoAMILP_5k,2026,574614.4,574614.4,case118_2434/case118_2434.lp,5431,6355,1126672,3139,12.039,62.835,0,503,537,0,optimal,0,0,536.819,518.391,4,1.15,,,,,,
4,PGNN_5k,2026,574614.4,574614.4,case118_2434/case118_2434.lp,3413,4092,810483,1964,7.689,39.219,0,335,369,0,optimal,0,0,368.585,356.562,4,1.67,,,,,,
