Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,52355633.3,52355633.3,/24GX_2459/24GX_2459.lp,509,944,349350,446,0,0,0,372,438,0,optimal,110,0,437.326,432.812,1,1,718,255,1800,1,1,1
1,Gasse,2026,52355633.3,52355633.3,/24GX_2459/24GX_2459.lp,487,698,266605,295,2.682,16.278,0,175,242,0,optimal,0,0,241.759,239.859,1,1.81,498,104,1800,2.02,1,3.48
2,Wei,2026,52355633.3,52355633.3,/24GX_2459/24GX_2459.lp,438,585,247989,262,2.325,15.339,0,154,220,0,optimal,0,0,219.617,218.047,1,1.99,404,98,1800,2.34,1,3.69
3,NoPgraph,2026,52355633.3,52355633.3,/24GX_2459/24GX_2459.lp,450,649,239056,276,2.439,13.168,0,133,199,0,optimal,0,0,198.806,198.047,1,2.2,440,106,1800,2.15,1,3.2
4,PGNN,2026,52355633.3,52355633.3,/24GX_2459/24GX_2459.lp,363,526,252553,225,2.11,10.161,0,148,215,0,optimal,0,0,215,213.688,1,2.04,436,108,1800,2.17,1,3.63
0,RPB,2026,52746607,52746607,/24GX_2469/24GX_2469.lp,946,1141,160790,520,0,0,0,214,255,0,optimal,40,0,254.79,252.078,2,1,,,,,,
1,Gasse,2026,52746607,52746607,/24GX_2469/24GX_2469.lp,218,559,218693,113,1.166,10.097,0,92,133,0,optimal,0,0,132.814,131.781,2,1.92,,,,,,
2,Wei,2026,52746607,52746607,/24GX_2469/24GX_2469.lp,219,373,131221,113,1.102,9.299,0,65,107,0,optimal,0,0,107.026,105.797,2,2.38,,,,,,
3,NoPgraph,2026,52746607,52746607,/24GX_2469/24GX_2469.lp,324,553,198827,164,1.573,13.542,0,90,131,0,optimal,0,0,130.992,130.094,2,1.95,,,,,,
4,PGNN,2026,52746607,52746607,/24GX_2469/24GX_2469.lp,491,696,191940,257,2.336,12.778,0,101,141,0,optimal,0,0,140.86,141.562,2,1.81,,,,,,
