Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,7226297.5,7226297.5,case2383_2417/case2383_2417.lp,3304,5545,299455,2405,0,0,0,972,1076,0,optimal,519,0,1076.413,1028.359,1,1,1445,590,1800,1,1,1
1,Gasse,2026,7226297.5,7226297.5,case2383_2417/case2383_2417.lp,3791,4035,220599,2021,36.139,156.282,0,633,691,0,optimal,0,0,691.179,682,1,1.56,1058,277,1800,1.62,0.68,3.03
2,Wei,2026,7226297.5,7226297.5,case2383_2417/case2383_2417.lp,2720,2957,186782,1413,26.527,109.296,0,487,589,0,optimal,0,0,589.059,571.016,1,1.83,1184,208,1800,1.51,0.68,2.84
3,NoPgraph,2026,7226297.5,7226297.5,case2383_2417/case2383_2417.lp,4485,4953,253962,2402,45.242,184.106,0,731,842,0,optimal,0,0,841.846,821.359,1,1.28,1097,266,1800,1.46,1,2.62
4,PGNN,2026,7226297.5,7226297.5,case2383_2417/case2383_2417.lp,4835,5175,219514,2789,52.574,207.046,0,770,875,0,optimal,0,0,874.455,856.266,1,1.23,1036,384,1800,1.48,1,2.36
0,RPB,2026,6989979.5,6983836.8,case2383_2427/case2383_2427.lp,6302,10686,430560,4449,0,0,0,1712,1800,0.00088,timelimit,1061,0,1799.411,1718.016,2,1,,,,,,
1,Gasse,2026,6989979.5,6989979.5,case2383_2427/case2383_2427.lp,2507,2858,193054,1289,24.084,103.932,0,506,595,0,optimal,0,0,594.771,578.75,2,3.03,,,,,,
2,Wei,2026,6989979.5,6989979.5,case2383_2427/case2383_2427.lp,3177,3372,187024,1622,30.335,131.008,0,607,701,0,optimal,0,0,700.688,680.188,2,2.57,,,,,,
3,NoPgraph,2026,6989979.5,6989979.5,case2383_2427/case2383_2427.lp,2990,3456,197166,1557,29.135,126.29,0,599,687,0,optimal,0,0,686.513,665.922,2,2.62,,,,,,
4,PGNN,2026,6989979.5,6989979.5,case2383_2427/case2383_2427.lp,3273,3713,214771,1690,31.985,138.594,0,670,763,0,optimal,0,0,763.306,741.344,2,2.36,,,,,,
0,RPB,2026,7312042.3,7300874.9,case2383_2437/case2383_2437.lp,5907,10166,408160,4391,0,0,0,1701,1800,0.00153,timelimit,1143,0,1799.892,1719.328,3,1,,,,,,
