Auxiliary column,policy,seed,obj,dual,instance,nnodes,nlps,nlpit,nbranch,featime,inftime,dual_integral_1e4,btime,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,Number,Speedup ratio,Time-AVG,Time-Min,Time-Max,Ratio-AVG,Ratio-Min,Ratio-Max
0,RPB,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,1114,2181,143826,1119,0,0,0,891,1066,0,optimal,398,0,1066.452,1028.312,1,1,1161,314,1800,1,1,1
1,Gasse,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,6722,7827,299355,4251,95.431,253.062,0,1575,1760,0,optimal,0,0,1759.695,1733.625,1,0.61,1232,212,1800,1.06,0.61,1.69
2,Wei,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,2810,3652,219622,1602,36.887,106.639,0,788,964,0,optimal,0,0,963.606,943.297,1,1.11,876,216,1800,1.46,0.71,2.22
3,NoPgraph,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,1868,2616,197418,1095,25.584,76.724,0,601,777,0,optimal,0,0,777.137,759.078,1,1.37,900,210,1800,1.48,0.62,2.48
5,PGNN,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,3650,4370,245857,2280,52.658,147.562,0,810,984,0,optimal,0,0,984.048,965.734,1,1.08,857,192,1800,1.47,1,2.24
6,PGNNwithDepth,2026,22811348.2,22811348.2,/case1888_2405/case1888_2405.lp,1207,1934,163541,627,14.842,46.564,0,442,616,0,optimal,0,0,616.442,599.906,1,1.73,908,198,1800,1.44,0.63,2.27
0,RPB,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,12,365,55581,61,0,0,0,165,314,0,optimal,53,1,314.05,302.969,2,1,,,,,,
1,Gasse,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,197,489,69679,106,2.828,10.816,0,62,212,0,optimal,0,0,212.312,205.125,2,1.48,,,,,,
2,Wei,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,260,516,75196,135,3.387,13.908,0,72,216,0,optimal,0,0,215.753,208.078,2,1.45,,,,,,
3,NoPgraph,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,246,461,58631,128,3.57,13.518,0,64,210,0,optimal,0,0,209.198,203.031,2,1.5,,,,,,
5,PGNN,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,206,440,57346,106,2.779,11.157,0,45,192,0,optimal,0,0,192.627,185.75,2,1.64,,,,,,
6,PGNNwithDepth,2026,23133986.6,23133986.6,/case1888_2415/case1888_2415.lp,183,479,67388,96,2.668,9.991,0,55,198,0,optimal,0,0,198.487,192.344,2,1.59,,,,,,
0,RPB,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,461,844,73388,460,0,0,0,499,651,0,optimal,214,1,651.419,626.547,3,1,,,,,,
1,Gasse,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,997,1172,124112,535,12.825,39.35,0,292,439,0,optimal,0,0,439.182,426.484,3,1.48,,,,,,
2,Wei,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,737,1211,138220,387,9.206,30.187,0,267,414,0,optimal,0,0,413.589,400.938,3,1.57,,,,,,
3,NoPgraph,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,509,706,112663,283,7.095,21.293,0,192,337,0,optimal,0,0,337.23,326.344,3,1.93,,,,,,
5,PGNN,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,818,1003,130995,429,10.081,30.196,0,256,408,0,optimal,0,0,407.77,395.203,3,1.6,,,,,,
6,PGNNwithDepth,2026,23511142.9,23511142.9,/case1888_2425/case1888_2425.lp,1101,1108,108453,593,13.73,42.404,0,279,433,0,optimal,0,0,432.88,419.375,3,1.5,,,,,,
0,RPB,2026,22941267.1,22941267.1,/case1888_2445/case1888_2445.lp,762,1510,101396,761,0,0,0,987,1145,0,optimal,344,0,1143.406,1098.266,4,1,,,,,,
1,Gasse,2026,22941267.1,22941267.1,/case1888_2445/case1888_2445.lp,4194,5341,387742,2165,47.729,162.011,0,1301,1456,0,optimal,0,0,1456.004,1425.281,4,0.79,,,,,,
